r,t,f,y,ProductionByTechnologyAnnual
RE1,DEMCOMHEBIO,COMHEL,2032,47.1743
RE1,DEMCOMHEBIO,COMHEL,2033,46.2305
RE1,DEMCOMHEBIO,COMHEL,2034,33.2936
RE1,DEMCOMHEBIO,COMHEL,2035,33.4854
RE1,DEMCOMHEBIO,COMHEL,2036,32.7819
RE1,DEMCOMHEBIO,COMHEL,2037,31.3503
RE1,DEMCOMHEBIO,COMHEL,2038,32.0107
RE1,DEMCOMHEBIO,COMHEL,2039,32.6711
RE1,DEMCOMHEBIO,COMHEL,2040,23.0757
RE1,DEMCOMHEBIO,COMHEL,2041,22.7959
RE1,DEMCOMHEBIO,COMHEL,2042,23.4159
RE1,DEMCOMHEBIO,COMHEL,2043,22.7354
RE1,DEMCOMHEBIO,COMHEL,2044,17.2675
RE1,DEMCOMHEEL,COMHEL,2030,1.0657
RE1,DEMCOMHEEL,COMHEL,2031,3.6753
RE1,DEMCOMHEEL,COMHEL,2032,5.3362
RE1,DEMCOMHEEL,COMHEL,2033,6.9971
RE1,DEMCOMHEEL,COMHEL,2034,20.6511
RE1,DEMCOMHEEL,COMHEL,2035,21.1764
RE1,DEMCOMHEEL,COMHEL,2036,22.5403
RE1,DEMCOMHEEL,COMHEL,2037,24.6323
RE1,DEMCOMHEEL,COMHEL,2038,24.6323
RE1,DEMCOMHEEL,COMHEL,2039,24.6323
RE1,DEMCOMHEEL,COMHEL,2040,34.888
RE1,DEMCOMHEEL,COMHEL,2041,35.7878
RE1,DEMCOMHEEL,COMHEL,2042,35.7878
RE1,DEMCOMHEEL,COMHEL,2043,37.0883
RE1,DEMCOMHEEL,COMHEL,2044,43.1763
RE1,DEMCOMHEEL,COMHEL,2045,61.0638
RE1,DEMCOMHEEL,COMHEL,2046,61.5521
RE1,DEMCOMHEEL,COMHEL,2047,62.0404
RE1,DEMCOMHEEL,COMHEL,2048,62.5287
RE1,DEMCOMHEEL,COMHEL,2049,63.017
RE1,DEMCOMHEEL,COMHEL,2050,63.5053
RE1,DEMCOMHEEL,COMHEL,2051,64.0052
RE1,DEMCOMHEEL,COMHEL,2052,64.5091
RE1,DEMCOMHEEL,COMHEL,2053,65.0169
RE1,DEMCOMHEEL,COMHEL,2054,65.5287
RE1,DEMCOMHEEL,COMHEL,2055,66.0446
RE1,DEMCOMHEEL,COMHEL,2056,66.5645
