r,l,f,y,Demand
RE1,S103,INDELC,2064,8.7151
RE1,S103,INDELC,2065,8.8124
RE1,S103,INDELC,2066,8.9107
RE1,S103,INDELC,2067,9.0101
RE1,S103,INDELC,2068,9.1106
RE1,S103,INDELC,2069,9.2122
RE1,S103,INDELC,2070,9.315
RE1,S103,RESELC,2015,1.411
RE1,S103,RESELC,2016,1.411
RE1,S103,RESELC,2017,1.411
RE1,S103,RESELC,2018,1.411
RE1,S103,RESELC,2019,1.411
RE1,S103,RESELC,2020,1.411
RE1,S103,RESELC,2021,1.411
RE1,S103,RESELC,2022,2.0762
RE1,S103,RESELC,2023,2.1355
RE1,S103,RESELC,2024,2.1948
RE1,S103,RESELC,2025,2.254
RE1,S103,RESELC,2026,2.3181
RE1,S103,RESELC,2027,2.3822
RE1,S103,RESELC,2028,2.4462
RE1,S103,RESELC,2029,2.5103
RE1,S103,RESELC,2030,2.5743
RE1,S103,RESELC,2031,2.6476
RE1,S103,RESELC,2032,2.7208
RE1,S103,RESELC,2033,2.794
RE1,S103,RESELC,2034,2.8672
RE1,S103,RESELC,2035,2.9405
RE1,S103,RESELC,2036,2.9994
RE1,S103,RESELC,2037,3.0584
RE1,S103,RESELC,2038,3.1173
RE1,S103,RESELC,2039,3.1763
RE1,S103,RESELC,2040,3.2352
RE1,S103,RESELC,2041,3.2929
RE1,S103,RESELC,2042,3.3507
RE1,S103,RESELC,2043,3.4084
RE1,S103,RESELC,2044,3.4661
RE1,S103,RESELC,2045,3.5238
RE1,S103,RESELC,2046,3.564
RE1,S103,RESELC,2047,3.6042
RE1,S103,RESELC,2048,3.6444
RE1,S103,RESELC,2049,3.6846
RE1,S103,RESELC,2050,3.7248
RE1,S103,RESELC,2051,3.7664
RE1,S103,RESELC,2052,3.8084
RE1,S103,RESELC,2053,3.8509
RE1,S103,RESELC,2054,3.8938
RE1,S103,RESELC,2055,3.9372
RE1,S103,RESELC,2056,3.9812
RE1,S103,RESELC,2057,4.0256
RE1,S103,RESELC,2058,4.0705
RE1,S103,RESELC,2059,4.1159
RE1,S103,RESELC,2060,4.1618
RE1,S103,RESELC,2061,4.2082
RE1,S103,RESELC,2062,4.2552
RE1,S103,RESELC,2063,4.3026
RE1,S103,RESELC,2064,4.3506
RE1,S103,RESELC,2065,4.3992
