r,l,f,y,Demand
RE1,S123,INDELC,2036,6.0084
RE1,S123,INDELC,2037,6.1265
RE1,S123,INDELC,2038,6.2446
RE1,S123,INDELC,2039,6.3627
RE1,S123,INDELC,2040,6.4808
RE1,S123,INDELC,2041,6.5964
RE1,S123,INDELC,2042,6.712
RE1,S123,INDELC,2043,6.8277
RE1,S123,INDELC,2044,6.9433
RE1,S123,INDELC,2045,7.0589
RE1,S123,INDELC,2046,7.1394
RE1,S123,INDELC,2047,7.22
RE1,S123,INDELC,2048,7.3005
RE1,S123,INDELC,2049,7.381
RE1,S123,INDELC,2050,7.4615
RE1,S123,INDELC,2051,7.5448
RE1,S123,INDELC,2052,7.6289
RE1,S123,INDELC,2053,7.714
RE1,S123,INDELC,2054,7.8001
RE1,S123,INDELC,2055,7.8871
RE1,S123,INDELC,2056,7.975
RE1,S123,INDELC,2057,8.064
RE1,S123,INDELC,2058,8.154
RE1,S123,INDELC,2059,8.2449
RE1,S123,INDELC,2060,8.3369
RE1,S123,INDELC,2061,8.4299
RE1,S123,INDELC,2062,8.5239
RE1,S123,INDELC,2063,8.619
RE1,S123,INDELC,2064,8.7151
RE1,S123,INDELC,2065,8.8124
RE1,S123,INDELC,2066,8.9107
RE1,S123,INDELC,2067,9.0101
RE1,S123,INDELC,2068,9.1106
RE1,S123,INDELC,2069,9.2122
RE1,S123,INDELC,2070,9.315
RE1,S123,RESELC,2015,1.411
RE1,S123,RESELC,2016,1.411
RE1,S123,RESELC,2017,1.411
RE1,S123,RESELC,2018,1.411
RE1,S123,RESELC,2019,1.411
RE1,S123,RESELC,2020,1.411
RE1,S123,RESELC,2021,1.411
RE1,S123,RESELC,2022,2.0762
RE1,S123,RESELC,2023,2.1355
RE1,S123,RESELC,2024,2.1948
RE1,S123,RESELC,2025,2.254
RE1,S123,RESELC,2026,2.3181
RE1,S123,RESELC,2027,2.3822
RE1,S123,RESELC,2028,2.4462
RE1,S123,RESELC,2029,2.5103
RE1,S123,RESELC,2030,2.5743
RE1,S123,RESELC,2031,2.6476
RE1,S123,RESELC,2032,2.7208
RE1,S123,RESELC,2033,2.794
RE1,S123,RESELC,2034,2.8672
RE1,S123,RESELC,2035,2.9405
RE1,S123,RESELC,2036,2.9994
RE1,S123,RESELC,2037,3.0584
RE1,S123,RESELC,2038,3.1173
RE1,S123,RESELC,2039,3.1763
RE1,S123,RESELC,2040,3.2352
RE1,S123,RESELC,2041,3.2929
RE1,S123,RESELC,2042,3.3507
RE1,S123,RESELC,2043,3.4084
RE1,S123,RESELC,2044,3.4661
RE1,S123,RESELC,2045,3.5238
RE1,S123,RESELC,2046,3.564
RE1,S123,RESELC,2047,3.6042
RE1,S123,RESELC,2048,3.6444
RE1,S123,RESELC,2049,3.6846
RE1,S123,RESELC,2050,3.7248
RE1,S123,RESELC,2051,3.7664
RE1,S123,RESELC,2052,3.8084
RE1,S123,RESELC,2053,3.8509
RE1,S123,RESELC,2054,3.8938
RE1,S123,RESELC,2055,3.9372
RE1,S123,RESELC,2056,3.9812
RE1,S123,RESELC,2057,4.0256
RE1,S123,RESELC,2058,4.0705
RE1,S123,RESELC,2059,4.1159
RE1,S123,RESELC,2060,4.1618
RE1,S123,RESELC,2061,4.2082
RE1,S123,RESELC,2062,4.2552
RE1,S123,RESELC,2063,4.3026
RE1,S123,RESELC,2064,4.3506
RE1,S123,RESELC,2065,4.3992
RE1,S123,RESELC,2066,4.4482
RE1,S123,RESELC,2067,4.4978
RE1,S123,RESELC,2068,4.548
RE1,S123,RESELC,2069,4.5987
RE1,S123,RESELC,2070,4.65
RE1,S123,COMELC,2015,1.4548
RE1,S123,COMELC,2016,1.4548
RE1,S123,COMELC,2017,1.4548
RE1,S123,COMELC,2018,1.4548
RE1,S123,COMELC,2019,1.4548
RE1,S123,COMELC,2020,1.4548
RE1,S123,COMELC,2021,1.4548
RE1,S123,COMELC,2022,2.1458
RE1,S123,COMELC,2023,2.2071
RE1,S123,COMELC,2024,2.2684
RE1,S123,COMELC,2025,2.3296
RE1,S123,COMELC,2026,2.3959
RE1,S123,COMELC,2027,2.4621
RE1,S123,COMELC,2028,2.5283
RE1,S123,COMELC,2029,2.5945
RE1,S123,COMELC,2030,2.6607
RE1,S123,COMELC,2031,2.7364
RE1,S123,COMELC,2032,2.8121
RE1,S123,COMELC,2033,2.8877
RE1,S123,COMELC,2034,2.9634
RE1,S123,COMELC,2035,3.0391
RE1,S123,COMELC,2036,3.1
RE1,S123,COMELC,2037,3.161
RE1,S123,COMELC,2038,3.2219
RE1,S123,COMELC,2039,3.2828
RE1,S123,COMELC,2040,3.3437
RE1,S123,COMELC,2041,3.4034
RE1,S123,COMELC,2042,3.4631
RE1,S123,COMELC,2043,3.5227
RE1,S123,COMELC,2044,3.5824
RE1,S123,COMELC,2045,3.642
RE1,S123,COMELC,2046,3.6836
RE1,S123,COMELC,2047,3.7251
RE1,S123,COMELC,2048,3.7667
RE1,S123,COMELC,2049,3.8082
RE1,S123,COMELC,2050,3.8498
RE1,S123,COMELC,2051,3.8927
RE1,S123,COMELC,2052,3.9361
RE1,S123,COMELC,2053,3.98
RE1,S123,COMELC,2054,4.0244
RE1,S123,COMELC,2055,4.0693
RE1,S123,COMELC,2056,4.1147
RE1,S123,COMELC,2057,4.1606
RE1,S123,COMELC,2058,4.207
RE1,S123,COMELC,2059,4.254
RE1,S123,COMELC,2060,4.3014
RE1,S123,COMELC,2061,4.3494
RE1,S123,COMELC,2062,4.3979
RE1,S123,COMELC,2063,4.447
RE1,S123,COMELC,2064,4.4966
RE1,S123,COMELC,2065,4.5467
RE1,S123,COMELC,2066,4.5974
RE1,S123,COMELC,2067,4.6487
RE1,S123,COMELC,2068,4.7006
RE1,S123,COMELC,2069,4.753
RE1,S123,COMELC,2070,4.806
RE1,S124,INDELC,2015,3.6595
RE1,S124,INDELC,2016,3.6595
RE1,S124,INDELC,2017,3.6595
RE1,S124,INDELC,2018,3.6595
RE1,S124,INDELC,2019,3.6595
RE1,S124,INDELC,2020,3.6595
RE1,S124,INDELC,2021,3.6595
RE1,S124,INDELC,2022,4.159
RE1,S124,INDELC,2023,4.2778
RE1,S124,INDELC,2024,4.3965
RE1,S124,INDELC,2025,4.5153
RE1,S124,INDELC,2026,4.6436
RE1,S124,INDELC,2027,4.7719
RE1,S124,INDELC,2028,4.9003
RE1,S124,INDELC,2029,5.0286
RE1,S124,INDELC,2030,5.1569
RE1,S124,INDELC,2031,5.3036
RE1,S124,INDELC,2032,5.4503
RE1,S124,INDELC,2033,5.597
RE1,S124,INDELC,2034,5.7436
RE1,S124,INDELC,2035,5.8903
RE1,S124,INDELC,2036,6.0084
RE1,S124,INDELC,2037,6.1265
RE1,S124,INDELC,2038,6.2446
RE1,S124,INDELC,2039,6.3627
RE1,S124,INDELC,2040,6.4808
RE1,S124,INDELC,2041,6.5964
RE1,S124,INDELC,2042,6.712
RE1,S124,INDELC,2043,6.8277
RE1,S124,INDELC,2044,6.9433
RE1,S124,INDELC,2045,7.0589
RE1,S124,INDELC,2046,7.1394
RE1,S124,INDELC,2047,7.22
RE1,S124,INDELC,2048,7.3005
RE1,S124,INDELC,2049,7.381
RE1,S124,INDELC,2050,7.4615
RE1,S124,INDELC,2051,7.5448
RE1,S124,INDELC,2052,7.6289
RE1,S124,INDELC,2053,7.714
RE1,S124,INDELC,2054,7.8001
RE1,S124,INDELC,2055,7.8871
RE1,S124,INDELC,2056,7.975
RE1,S124,INDELC,2057,8.064
RE1,S124,INDELC,2058,8.154
RE1,S124,INDELC,2059,8.2449
RE1,S124,INDELC,2060,8.3369
RE1,S124,INDELC,2061,8.4299
RE1,S124,INDELC,2062,8.5239
RE1,S124,INDELC,2063,8.619
RE1,S124,INDELC,2064,8.7151
RE1,S124,INDELC,2065,8.8124
RE1,S124,INDELC,2066,8.9107
RE1,S124,INDELC,2067,9.0101
RE1,S124,INDELC,2068,9.1106
RE1,S124,INDELC,2069,9.2122
RE1,S124,INDELC,2070,9.315
RE1,S124,RESELC,2015,1.411
RE1,S124,RESELC,2016,1.411
RE1,S124,RESELC,2017,1.411
RE1,S124,RESELC,2018,1.411
RE1,S124,RESELC,2019,1.411
RE1,S124,RESELC,2020,1.411
RE1,S124,RESELC,2021,1.411
RE1,S124,RESELC,2022,2.0762
RE1,S124,RESELC,2023,2.1355
RE1,S124,RESELC,2024,2.1948
RE1,S124,RESELC,2025,2.254
RE1,S124,RESELC,2026,2.3181
RE1,S124,RESELC,2027,2.3822
RE1,S124,RESELC,2028,2.4462
RE1,S124,RESELC,2029,2.5103
RE1,S124,RESELC,2030,2.5743
RE1,S124,RESELC,2031,2.6476
RE1,S124,RESELC,2032,2.7208
RE1,S124,RESELC,2033,2.794
RE1,S124,RESELC,2034,2.8672
RE1,S124,RESELC,2035,2.9405
RE1,S124,RESELC,2036,2.9994
RE1,S124,RESELC,2037,3.0584
RE1,S124,RESELC,2038,3.1173
RE1,S124,RESELC,2039,3.1763
RE1,S124,RESELC,2040,3.2352
RE1,S124,RESELC,2041,3.2929
RE1,S124,RESELC,2042,3.3507
RE1,S124,RESELC,2043,3.4084
RE1,S124,RESELC,2044,3.4661
RE1,S124,RESELC,2045,3.5238
RE1,S124,RESELC,2046,3.564
RE1,S124,RESELC,2047,3.6042
RE1,S124,RESELC,2048,3.6444
RE1,S124,RESELC,2049,3.6846
RE1,S124,RESELC,2050,3.7248
RE1,S124,RESELC,2051,3.7664
RE1,S124,RESELC,2052,3.8084
RE1,S124,RESELC,2053,3.8509
RE1,S124,RESELC,2054,3.8938
RE1,S124,RESELC,2055,3.9372
RE1,S124,RESELC,2056,3.9812
RE1,S124,RESELC,2057,4.0256
RE1,S124,RESELC,2058,4.0705
RE1,S124,RESELC,2059,4.1159
RE1,S124,RESELC,2060,4.1618
RE1,S124,RESELC,2061,4.2082
RE1,S124,RESELC,2062,4.2552
RE1,S124,RESELC,2063,4.3026
RE1,S124,RESELC,2064,4.3506
RE1,S124,RESELC,2065,4.3992
RE1,S124,RESELC,2066,4.4482
RE1,S124,RESELC,2067,4.4978
RE1,S124,RESELC,2068,4.548
RE1,S124,RESELC,2069,4.5987
RE1,S124,RESELC,2070,4.65
RE1,S124,COMELC,2015,1.4548
RE1,S124,COMELC,2016,1.4548
RE1,S124,COMELC,2017,1.4548
RE1,S124,COMELC,2018,1.4548
RE1,S124,COMELC,2019,1.4548
RE1,S124,COMELC,2020,1.4548
RE1,S124,COMELC,2021,1.4548
RE1,S124,COMELC,2022,2.1458
RE1,S124,COMELC,2023,2.2071
RE1,S124,COMELC,2024,2.2684
RE1,S124,COMELC,2025,2.3296
RE1,S124,COMELC,2026,2.3959
RE1,S124,COMELC,2027,2.4621
RE1,S124,COMELC,2028,2.5283
RE1,S124,COMELC,2029,2.5945
RE1,S124,COMELC,2030,2.6607
RE1,S124,COMELC,2031,2.7364
RE1,S124,COMELC,2032,2.8121
RE1,S124,COMELC,2033,2.8877
RE1,S124,COMELC,2034,2.9634
RE1,S124,COMELC,2035,3.0391
RE1,S124,COMELC,2036,3.1
RE1,S124,COMELC,2037,3.161
RE1,S124,COMELC,2038,3.2219
RE1,S124,COMELC,2039,3.2828
RE1,S124,COMELC,2040,3.3437
RE1,S124,COMELC,2041,3.4034
RE1,S124,COMELC,2042,3.4631
RE1,S124,COMELC,2043,3.5227
RE1,S124,COMELC,2044,3.5824
RE1,S124,COMELC,2045,3.642
RE1,S124,COMELC,2046,3.6836
RE1,S124,COMELC,2047,3.7251
RE1,S124,COMELC,2048,3.7667
RE1,S124,COMELC,2049,3.8082
RE1,S124,COMELC,2050,3.8498
RE1,S124,COMELC,2051,3.8927
RE1,S124,COMELC,2052,3.9361
RE1,S124,COMELC,2053,3.98
RE1,S124,COMELC,2054,4.0244
RE1,S124,COMELC,2055,4.0693
RE1,S124,COMELC,2056,4.1147
RE1,S124,COMELC,2057,4.1606
RE1,S124,COMELC,2058,4.207
RE1,S124,COMELC,2059,4.254
RE1,S124,COMELC,2060,4.3014
RE1,S124,COMELC,2061,4.3494
RE1,S124,COMELC,2062,4.3979
RE1,S124,COMELC,2063,4.447
RE1,S124,COMELC,2064,4.4966
RE1,S124,COMELC,2065,4.5467
RE1,S124,COMELC,2066,4.5974
RE1,S124,COMELC,2067,4.6487
RE1,S124,COMELC,2068,4.7006
RE1,S124,COMELC,2069,4.753
RE1,S124,COMELC,2070,4.806
RE1,S201,INDELC,2015,3.9746
RE1,S201,INDELC,2016,3.9746
RE1,S201,INDELC,2017,3.9746
RE1,S201,INDELC,2018,3.9746
RE1,S201,INDELC,2019,3.9746
RE1,S201,INDELC,2020,3.9746
RE1,S201,INDELC,2021,3.9746
RE1,S201,INDELC,2022,4.5171
RE1,S201,INDELC,2023,4.6461
RE1,S201,INDELC,2024,4.7751
RE1,S201,INDELC,2025,4.904
RE1,S201,INDELC,2026,5.0434
RE1,S201,INDELC,2027,5.1828
RE1,S201,INDELC,2028,5.3222
RE1,S201,INDELC,2029,5.4616
RE1,S201,INDELC,2030,5.6009
RE1,S201,INDELC,2031,5.7603
RE1,S201,INDELC,2032,5.9196
RE1,S201,INDELC,2033,6.0789
RE1,S201,INDELC,2034,6.2382
RE1,S201,INDELC,2035,6.3975
RE1,S201,INDELC,2036,6.5257
RE1,S201,INDELC,2037,6.654
RE1,S201,INDELC,2038,6.7823
RE1,S201,INDELC,2039,6.9105
RE1,S201,INDELC,2040,7.0388
RE1,S201,INDELC,2041,7.1644
RE1,S201,INDELC,2042,7.2899
RE1,S201,INDELC,2043,7.4155
RE1,S201,INDELC,2044,7.5411
RE1,S201,INDELC,2045,7.6667
RE1,S201,INDELC,2046,7.7542
RE1,S201,INDELC,2047,7.8416
RE1,S201,INDELC,2048,7.9291
RE1,S201,INDELC,2049,8.0165
RE1,S201,INDELC,2050,8.104
RE1,S201,INDELC,2051,8.1944
RE1,S201,INDELC,2052,8.2858
RE1,S201,INDELC,2053,8.3782
RE1,S201,INDELC,2054,8.4717
RE1,S201,INDELC,2055,8.5662
RE1,S201,INDELC,2056,8.6617
RE1,S201,INDELC,2057,8.7583
RE1,S201,INDELC,2058,8.856
RE1,S201,INDELC,2059,8.9548
RE1,S201,INDELC,2060,9.0547
RE1,S201,INDELC,2061,9.1557
RE1,S201,INDELC,2062,9.2578
RE1,S201,INDELC,2063,9.3611
RE1,S201,INDELC,2064,9.4655
RE1,S201,INDELC,2065,9.5711
RE1,S201,INDELC,2066,9.6779
RE1,S201,INDELC,2067,9.7858
RE1,S201,INDELC,2068,9.895
RE1,S201,INDELC,2069,10.0054
RE1,S201,INDELC,2070,10.117
RE1,S201,RESELC,2015,1.5325
RE1,S201,RESELC,2016,1.5325
RE1,S201,RESELC,2017,1.5325
RE1,S201,RESELC,2018,1.5325
RE1,S201,RESELC,2019,1.5325
RE1,S201,RESELC,2020,1.5325
RE1,S201,RESELC,2021,1.5325
RE1,S201,RESELC,2022,2.2549
RE1,S201,RESELC,2023,2.3193
RE1,S201,RESELC,2024,2.3837
RE1,S201,RESELC,2025,2.4481
RE1,S201,RESELC,2026,2.5177
RE1,S201,RESELC,2027,2.5873
RE1,S201,RESELC,2028,2.6568
RE1,S201,RESELC,2029,2.7264
RE1,S201,RESELC,2030,2.796
RE1,S201,RESELC,2031,2.8755
RE1,S201,RESELC,2032,2.9551
RE1,S201,RESELC,2033,3.0346
RE1,S201,RESELC,2034,3.1141
RE1,S201,RESELC,2035,3.1936
RE1,S201,RESELC,2036,3.2577
RE1,S201,RESELC,2037,3.3217
RE1,S201,RESELC,2038,3.3857
RE1,S201,RESELC,2039,3.4497
RE1,S201,RESELC,2040,3.5138
RE1,S201,RESELC,2041,3.5765
RE1,S201,RESELC,2042,3.6392
RE1,S201,RESELC,2043,3.7019
RE1,S201,RESELC,2044,3.7646
RE1,S201,RESELC,2045,3.8272
RE1,S201,RESELC,2046,3.8709
RE1,S201,RESELC,2047,3.9146
RE1,S201,RESELC,2048,3.9582
RE1,S201,RESELC,2049,4.0019
RE1,S201,RESELC,2050,4.0455
RE1,S201,RESELC,2051,4.0907
RE1,S201,RESELC,2052,4.1363
RE1,S201,RESELC,2053,4.1824
RE1,S201,RESELC,2054,4.2291
RE1,S201,RESELC,2055,4.2762
RE1,S201,RESELC,2056,4.324
RE1,S201,RESELC,2057,4.3722
RE1,S201,RESELC,2058,4.421
RE1,S201,RESELC,2059,4.4703
RE1,S201,RESELC,2060,4.5201
RE1,S201,RESELC,2061,4.5706
RE1,S201,RESELC,2062,4.6215
RE1,S201,RESELC,2063,4.6731
RE1,S201,RESELC,2064,4.7252
RE1,S201,RESELC,2065,4.7779
RE1,S201,RESELC,2066,4.8312
RE1,S201,RESELC,2067,4.8851
RE1,S201,RESELC,2068,4.9396
RE1,S201,RESELC,2069,4.9947
RE1,S201,RESELC,2070,5.0504
RE1,S201,COMELC,2015,1.58
RE1,S201,COMELC,2016,1.58
RE1,S201,COMELC,2017,1.58
RE1,S201,COMELC,2018,1.58
RE1,S201,COMELC,2019,1.58
RE1,S201,COMELC,2020,1.58
RE1,S201,COMELC,2021,1.58
RE1,S201,COMELC,2022,2.3306
RE1,S201,COMELC,2023,2.3971
RE1,S201,COMELC,2024,2.4637
RE1,S201,COMELC,2025,2.5302
RE1,S201,COMELC,2026,2.6022
RE1,S201,COMELC,2027,2.6741
RE1,S201,COMELC,2028,2.746
RE1,S201,COMELC,2029,2.8179
RE1,S201,COMELC,2030,2.8898
RE1,S201,COMELC,2031,2.972
RE1,S201,COMELC,2032,3.0542
RE1,S201,COMELC,2033,3.1364
RE1,S201,COMELC,2034,3.2186
RE1,S201,COMELC,2035,3.3008
RE1,S201,COMELC,2036,3.3669
RE1,S201,COMELC,2037,3.4331
RE1,S201,COMELC,2038,3.4993
RE1,S201,COMELC,2039,3.5655
RE1,S201,COMELC,2040,3.6316
RE1,S201,COMELC,2041,3.6964
RE1,S201,COMELC,2042,3.7612
RE1,S201,COMELC,2043,3.826
RE1,S201,COMELC,2044,3.8908
RE1,S201,COMELC,2045,3.9556
RE1,S201,COMELC,2046,4.0008
RE1,S201,COMELC,2047,4.0459
RE1,S201,COMELC,2048,4.091
RE1,S201,COMELC,2049,4.1361
RE1,S201,COMELC,2050,4.1812
RE1,S201,COMELC,2051,4.2279
RE1,S201,COMELC,2052,4.275
RE1,S201,COMELC,2053,4.3227
RE1,S201,COMELC,2054,4.3709
RE1,S201,COMELC,2055,4.4197
RE1,S201,COMELC,2056,4.469
RE1,S201,COMELC,2057,4.5189
RE1,S201,COMELC,2058,4.5693
RE1,S201,COMELC,2059,4.6202
RE1,S201,COMELC,2060,4.6718
RE1,S201,COMELC,2061,4.7239
RE1,S201,COMELC,2062,4.7766
RE1,S201,COMELC,2063,4.8299
RE1,S201,COMELC,2064,4.8837
RE1,S201,COMELC,2065,4.9382
RE1,S201,COMELC,2066,4.9933
RE1,S201,COMELC,2067,5.049
RE1,S201,COMELC,2068,5.1053
RE1,S201,COMELC,2069,5.1623
RE1,S201,COMELC,2070,5.2198
RE1,S202,INDELC,2015,3.9746
RE1,S202,INDELC,2016,3.9746
RE1,S202,INDELC,2017,3.9746
RE1,S202,INDELC,2018,3.9746
RE1,S202,INDELC,2019,3.9746
RE1,S202,INDELC,2020,3.9746
RE1,S202,INDELC,2021,3.9746
RE1,S202,INDELC,2022,4.5171
RE1,S202,INDELC,2023,4.6461
RE1,S202,INDELC,2024,4.7751
RE1,S202,INDELC,2025,4.904
RE1,S202,INDELC,2026,5.0434
RE1,S202,INDELC,2027,5.1828
RE1,S202,INDELC,2028,5.3222
RE1,S202,INDELC,2029,5.4616
RE1,S202,INDELC,2030,5.6009
RE1,S202,INDELC,2031,5.7603
RE1,S202,INDELC,2032,5.9196
RE1,S202,INDELC,2033,6.0789
RE1,S202,INDELC,2034,6.2382
RE1,S202,INDELC,2035,6.3975
RE1,S202,INDELC,2036,6.5257
RE1,S202,INDELC,2037,6.654
RE1,S202,INDELC,2038,6.7823
RE1,S202,INDELC,2039,6.9105
RE1,S202,INDELC,2040,7.0388
RE1,S202,INDELC,2041,7.1644
RE1,S202,INDELC,2042,7.2899
RE1,S202,INDELC,2043,7.4155
RE1,S202,INDELC,2044,7.5411
RE1,S202,INDELC,2045,7.6667
RE1,S202,INDELC,2046,7.7542
RE1,S202,INDELC,2047,7.8416
RE1,S202,INDELC,2048,7.9291
RE1,S202,INDELC,2049,8.0165
RE1,S202,INDELC,2050,8.104
RE1,S202,INDELC,2051,8.1944
RE1,S202,INDELC,2052,8.2858
RE1,S202,INDELC,2053,8.3782
RE1,S202,INDELC,2054,8.4717
RE1,S202,INDELC,2055,8.5662
RE1,S202,INDELC,2056,8.6617
RE1,S202,INDELC,2057,8.7583
RE1,S202,INDELC,2058,8.856
RE1,S202,INDELC,2059,8.9548
RE1,S202,INDELC,2060,9.0547
RE1,S202,INDELC,2061,9.1557
RE1,S202,INDELC,2062,9.2578
RE1,S202,INDELC,2063,9.3611
RE1,S202,INDELC,2064,9.4655
RE1,S202,INDELC,2065,9.5711
RE1,S202,INDELC,2066,9.6779
RE1,S202,INDELC,2067,9.7858
RE1,S202,INDELC,2068,9.895
RE1,S202,INDELC,2069,10.0054
RE1,S202,INDELC,2070,10.117
RE1,S202,RESELC,2015,1.5325
RE1,S202,RESELC,2016,1.5325
RE1,S202,RESELC,2017,1.5325
RE1,S202,RESELC,2018,1.5325
RE1,S202,RESELC,2019,1.5325
RE1,S202,RESELC,2020,1.5325
RE1,S202,RESELC,2021,1.5325
RE1,S202,RESELC,2022,2.2549
RE1,S202,RESELC,2023,2.3193
RE1,S202,RESELC,2024,2.3837
RE1,S202,RESELC,2025,2.4481
RE1,S202,RESELC,2026,2.5177
RE1,S202,RESELC,2027,2.5873
RE1,S202,RESELC,2028,2.6568
RE1,S202,RESELC,2029,2.7264
RE1,S202,RESELC,2030,2.796
RE1,S202,RESELC,2031,2.8755
RE1,S202,RESELC,2032,2.9551
RE1,S202,RESELC,2033,3.0346
RE1,S202,RESELC,2034,3.1141
RE1,S202,RESELC,2035,3.1936
RE1,S202,RESELC,2036,3.2577
RE1,S202,RESELC,2037,3.3217
RE1,S202,RESELC,2038,3.3857
RE1,S202,RESELC,2039,3.4497
RE1,S202,RESELC,2040,3.5138
RE1,S202,RESELC,2041,3.5765
RE1,S202,RESELC,2042,3.6392
RE1,S202,RESELC,2043,3.7019
RE1,S202,RESELC,2044,3.7646
RE1,S202,RESELC,2045,3.8272
RE1,S202,RESELC,2046,3.8709
RE1,S202,RESELC,2047,3.9146
RE1,S202,RESELC,2048,3.9582
RE1,S202,RESELC,2049,4.0019
RE1,S202,RESELC,2050,4.0455
RE1,S202,RESELC,2051,4.0907
RE1,S202,RESELC,2052,4.1363
RE1,S202,RESELC,2053,4.1824
RE1,S202,RESELC,2054,4.2291
RE1,S202,RESELC,2055,4.2762
RE1,S202,RESELC,2056,4.324
RE1,S202,RESELC,2057,4.3722
RE1,S202,RESELC,2058,4.421
RE1,S202,RESELC,2059,4.4703
RE1,S202,RESELC,2060,4.5201
RE1,S202,RESELC,2061,4.5706
RE1,S202,RESELC,2062,4.6215
RE1,S202,RESELC,2063,4.6731
RE1,S202,RESELC,2064,4.7252
RE1,S202,RESELC,2065,4.7779
RE1,S202,RESELC,2066,4.8312
RE1,S202,RESELC,2067,4.8851
RE1,S202,RESELC,2068,4.9396
RE1,S202,RESELC,2069,4.9947
RE1,S202,RESELC,2070,5.0504
RE1,S202,COMELC,2015,1.58
RE1,S202,COMELC,2016,1.58
RE1,S202,COMELC,2017,1.58
RE1,S202,COMELC,2018,1.58
RE1,S202,COMELC,2019,1.58
RE1,S202,COMELC,2020,1.58
RE1,S202,COMELC,2021,1.58
RE1,S202,COMELC,2022,2.3306
RE1,S202,COMELC,2023,2.3971
RE1,S202,COMELC,2024,2.4637
RE1,S202,COMELC,2025,2.5302
RE1,S202,COMELC,2026,2.6022
RE1,S202,COMELC,2027,2.6741
RE1,S202,COMELC,2028,2.746
RE1,S202,COMELC,2029,2.8179
RE1,S202,COMELC,2030,2.8898
RE1,S202,COMELC,2031,2.972
RE1,S202,COMELC,2032,3.0542
RE1,S202,COMELC,2033,3.1364
RE1,S202,COMELC,2034,3.2186
RE1,S202,COMELC,2035,3.3008
RE1,S202,COMELC,2036,3.3669
RE1,S202,COMELC,2037,3.4331
RE1,S202,COMELC,2038,3.4993
RE1,S202,COMELC,2039,3.5655
RE1,S202,COMELC,2040,3.6316
RE1,S202,COMELC,2041,3.6964
RE1,S202,COMELC,2042,3.7612
RE1,S202,COMELC,2043,3.826
RE1,S202,COMELC,2044,3.8908
RE1,S202,COMELC,2045,3.9556
RE1,S202,COMELC,2046,4.0008
RE1,S202,COMELC,2047,4.0459
RE1,S202,COMELC,2048,4.091
RE1,S202,COMELC,2049,4.1361
RE1,S202,COMELC,2050,4.1812
RE1,S202,COMELC,2051,4.2279
RE1,S202,COMELC,2052,4.275
RE1,S202,COMELC,2053,4.3227
RE1,S202,COMELC,2054,4.3709
RE1,S202,COMELC,2055,4.4197
RE1,S202,COMELC,2056,4.469
RE1,S202,COMELC,2057,4.5189
RE1,S202,COMELC,2058,4.5693
RE1,S202,COMELC,2059,4.6202
RE1,S202,COMELC,2060,4.6718
RE1,S202,COMELC,2061,4.7239
RE1,S202,COMELC,2062,4.7766
RE1,S202,COMELC,2063,4.8299
RE1,S202,COMELC,2064,4.8837
RE1,S202,COMELC,2065,4.9382
RE1,S202,COMELC,2066,4.9933
RE1,S202,COMELC,2067,5.049
RE1,S202,COMELC,2068,5.1053
RE1,S202,COMELC,2069,5.1623
RE1,S202,COMELC,2070,5.2198
RE1,S203,INDELC,2015,3.9746
RE1,S203,INDELC,2016,3.9746
RE1,S203,INDELC,2017,3.9746
RE1,S203,INDELC,2018,3.9746
RE1,S203,INDELC,2019,3.9746
RE1,S203,INDELC,2020,3.9746
RE1,S203,INDELC,2021,3.9746
RE1,S203,INDELC,2022,4.5171
RE1,S203,INDELC,2023,4.6461
RE1,S203,INDELC,2024,4.7751
RE1,S203,INDELC,2025,4.904
RE1,S203,INDELC,2026,5.0434
RE1,S203,INDELC,2027,5.1828
RE1,S203,INDELC,2028,5.3222
RE1,S203,INDELC,2029,5.4616
RE1,S203,INDELC,2030,5.6009
RE1,S203,INDELC,2031,5.7603
RE1,S203,INDELC,2032,5.9196
RE1,S203,INDELC,2033,6.0789
RE1,S203,INDELC,2034,6.2382
RE1,S203,INDELC,2035,6.3975
RE1,S203,INDELC,2036,6.5257
RE1,S203,INDELC,2037,6.654
RE1,S203,INDELC,2038,6.7823
RE1,S203,INDELC,2039,6.9105
RE1,S203,INDELC,2040,7.0388
RE1,S203,INDELC,2041,7.1644
RE1,S203,INDELC,2042,7.2899
RE1,S203,INDELC,2043,7.4155
RE1,S203,INDELC,2044,7.5411
RE1,S203,INDELC,2045,7.6667
RE1,S203,INDELC,2046,7.7542
RE1,S203,INDELC,2047,7.8416
RE1,S203,INDELC,2048,7.9291
RE1,S203,INDELC,2049,8.0165
RE1,S203,INDELC,2050,8.104
RE1,S203,INDELC,2051,8.1944
RE1,S203,INDELC,2052,8.2858
RE1,S203,INDELC,2053,8.3782
RE1,S203,INDELC,2054,8.4717
RE1,S203,INDELC,2055,8.5662
RE1,S203,INDELC,2056,8.6617
RE1,S203,INDELC,2057,8.7583
RE1,S203,INDELC,2058,8.856
RE1,S203,INDELC,2059,8.9548
RE1,S203,INDELC,2060,9.0547
RE1,S203,INDELC,2061,9.1557
RE1,S203,INDELC,2062,9.2578
RE1,S203,INDELC,2063,9.3611
RE1,S203,INDELC,2064,9.4655
RE1,S203,INDELC,2065,9.5711
RE1,S203,INDELC,2066,9.6779
RE1,S203,INDELC,2067,9.7858
RE1,S203,INDELC,2068,9.895
