lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
THA43PWRSOL001,THA,PWRSOL001,43,LampangSolarP18004,20.0,2014,0.09
THA44PWRSOL001,THA,PWRSOL001,44,Loei1SolarPo18006,20.0,2014,0.006
THA45PWRSOL001,THA,PWRSOL001,45,Loei2SolarPo18007,20.0,2014,0.007
THA46PWRSOL001,THA,PWRSOL001,46,LopburiAJSo18008,20.0,2014,0.004
THA47PWRSOL001,THA,PWRSOL001,47,LopburiAbsol18009,20.0,2014,0.008
THA48PWRSOL001,THA,PWRSOL001,48,LopburiBSP118010,20.0,2014,0.002
THA49PWRSOL001,THA,PWRSOL001,49,LopburiBSP418011,20.0,2014,0.002
THA50PWRSOL001,THA,PWRSOL001,50,LopburiBSP518012,20.0,2014,0.002
THA51PWRSOL001,THA,PWRSOL001,51,LopburiBSP618013,20.0,2014,0.004
THA52PWRSOL001,THA,PWRSOL001,52,LopburiNEDS18014,20.0,2014,0.055
THA53PWRSOL001,THA,PWRSOL001,53,LopburiSAAM18015,20.0,2014,0.002
THA54PWRSOL001,THA,PWRSOL001,54,LopburiSolarP18017,20.0,2014,0.001
THA55PWRSOL001,THA,PWRSOL001,55,LopburiTPSo18016,20.0,2014,0.004
THA56PWRSOL001,THA,PWRSOL001,56,NakhonPhanom118021,20.0,2014,0.006
THA57PWRSOL001,THA,PWRSOL001,57,NakhonPhanom218022,20.0,2014,0.007
THA58PWRSOL001,THA,PWRSOL001,58,NakhonPhanom318023,20.0,2014,0.007
THA59PWRSOL001,THA,PWRSOL001,59,NakhonRatchasi18024,20.0,2014,0.001
THA60PWRSOL001,THA,PWRSOL001,60,NakhonSawanSo18025,20.0,2014,0.09
THA61PWRSOL001,THA,PWRSOL001,61,NakhonSawanSo18026,20.0,2014,0.001
THA62PWRSOL001,THA,PWRSOL001,62,NakhonSiThamm18027,20.0,2014,0.001
THA63PWRSOL001,THA,PWRSOL001,63,NoenPoSolarP18029,20.0,2014,0.006
THA64PWRSOL001,THA,PWRSOL001,64,NongKhai1Sol18031,20.0,2014,0.007
THA65PWRSOL001,THA,PWRSOL001,65,NongOnSolarP18032,20.0,2014,0.008
THA66PWRSOL001,THA,PWRSOL001,66,Nongkrathum4S18034,20.0,2014,0.008
THA67PWRSOL001,THA,PWRSOL001,67,Nongkrathum5S18035,20.0,2014,0.008
THA68PWRSOL001,THA,PWRSOL001,68,NongyasaiSolar18036,20.0,2014,0.008
THA69PWRSOL001,THA,PWRSOL001,69,PhanomThuanSo18039,20.0,2014,0.008
THA70PWRSOL001,THA,PWRSOL001,70,PhetchaburiSol18040,20.0,2014,0.002
THA71PWRSOL001,THA,PWRSOL001,71,PhitsanulokSol18041,20.0,2014,0.09
THA72PWRSOL001,THA,PWRSOL001,72,PhraeSolarPow18042,20.0,2014,0.001
THA73PWRSOL001,THA,PWRSOL001,73,RatchaphruekSo18046,20.0,2014,0.001
THA74PWRSOL001,THA,PWRSOL001,74,RoiEtSPP5S18048,20.0,2014,0.008
THA75PWRSOL001,THA,PWRSOL001,75,SaiKyoSolarP18051,20.0,2014,0.012
THA76PWRSOL001,THA,PWRSOL001,76,SaiPhetSolar18052,20.0,2014,0.036
THA77PWRSOL001,THA,PWRSOL001,77,SaiPrapaSolar18053,20.0,2014,0.007
THA78PWRSOL001,THA,PWRSOL001,78,SaiSaphanSola18054,20.0,2014,0.007
THA79PWRSOL001,THA,PWRSOL001,79,SaiSenaSola18055,20.0,2014,0.003
THA80PWRSOL001,THA,PWRSOL001,80,SaiTatongSola18056,20.0,2014,0.001
THA81PWRSOL001,THA,PWRSOL001,81,SaiThongSolar18057,20.0,2014,0.006
THA82PWRSOL001,THA,PWRSOL001,82,SaiYaiSolar18058,20.0,2014,0.024
THA83PWRSOL001,THA,PWRSOL001,83,SaiYaiSolar18059,20.0,2014,0.01
THA84PWRSOL001,THA,PWRSOL001,84,SaiYoiSolarP18060,20.0,2014,0.003
THA85PWRSOL001,THA,PWRSOL001,85,SakonNakhon118061,20.0,2014,0.006
THA86PWRSOL001,THA,PWRSOL001,86,SakonNakhon218062,20.0,2014,0.008
THA87PWRSOL001,THA,PWRSOL001,87,SakrajomSolar18063,20.0,2014,0.008
THA88PWRSOL001,THA,PWRSOL001,88,SaraburiSPP218064,20.0,2014,0.008
THA89PWRSOL001,THA,PWRSOL001,89,SisaketSPP318066,20.0,2014,0.008
THA90PWRSOL001,THA,PWRSOL001,90,SriChulaSolar18068,20.0,2014,0.008
THA91PWRSOL001,THA,PWRSOL001,91,SuratThaniSol18073,20.0,2014,0.001
THA92PWRSOL001,THA,PWRSOL001,92,Surin1SolarP18074,20.0,2014,0.007
THA93PWRSOL001,THA,PWRSOL001,93,Surin2SolarP18075,20.0,2014,0.007
THA94PWRSOL001,THA,PWRSOL001,94,Surin3SolarP18076,20.0,2014,0.007
THA95PWRSOL001,THA,PWRSOL001,95,TaKhitSolarP18077,20.0,2014,0.008
