r,t,y,TotalCapacityAnnual
RE1,IMPNGS,2035,896.4167
RE1,IMPNGS,2036,934.116
RE1,IMPNGS,2037,1026.2943
RE1,IMPNGS,2038,1061.1988
RE1,IMPNGS,2039,1096.0805
RE1,IMPNGS,2040,1130.9396
RE1,IMPNGS,2041,1165.0394
RE1,IMPNGS,2042,1227.2105
RE1,IMPNGS,2043,1261.266
RE1,IMPNGS,2044,1295.2994
RE1,IMPNGS,2045,1329.3106
RE1,IMPNGS,2046,1369.6927
RE1,IMPNGS,2047,1417.7239
RE1,IMPNGS,2048,1450.6116
RE1,IMPNGS,2049,1488.3719
RE1,IMPNGS,2050,3168.5301
RE1,IMPNGS,2051,3214.55
RE1,IMPNGS,2052,3252.4836
RE1,IMPNGS,2053,3290.7968
RE1,IMPNGS,2054,3329.4935
RE1,IMPNGS,2055,3368.5777
RE1,IMPNGS,2056,3408.0534
RE1,IMPNGS,2057,3447.9245
RE1,IMPNGS,2058,3488.1952
RE1,IMPNGS,2059,3545.1981
RE1,IMPNGS,2060,3568.1046
RE1,IMPNGS,2061,3611.4459
RE1,IMPNGS,2062,3653.3564
RE1,IMPNGS,2063,3695.6874
RE1,IMPNGS,2064,3748.3619
RE1,IMPNGS,2065,3791.5471
RE1,IMPNGS,2066,3835.1659
RE1,IMPNGS,2067,3879.223
RE1,IMPNGS,2068,3923.7227
RE1,IMPNGS,2069,3968.6697
RE1,MINNGS,2015,377.8348
RE1,MINNGS,2016,796.9507
RE1,MINNGS,2017,806.5935
RE1,MINNGS,2018,614.6363
RE1,MINNGS,2019,672.5961
RE1,MINNGS,2020,725.873
RE1,MINNGS,2021,763.3577
RE1,MINNGS,2022,810.4567
RE1,MINNGS,2023,846.9226
RE1,MINNGS,2024,335.9972
RE1,MINNGS,2025,335.9972
RE1,MINNGS,2026,369.6202
RE1,MINNGS,2027,407.8568
RE1,MINSOL,2015,19.2273
RE1,MINSOL,2016,33.282
RE1,MINSOL,2017,36.6855
RE1,MINSOL,2018,40.2789
RE1,MINSOL,2019,40.5636
RE1,MINSOL,2020,40.5636
RE1,MINSOL,2021,41.6077
RE1,MINSOL,2022,41.6077
RE1,MINSOL,2023,41.6077
RE1,MINSOL,2024,882.959
RE1,MINSOL,2025,882.959
RE1,MINSOL,2026,882.959
RE1,MINSOL,2027,882.959
RE1,MINSOL,2028,882.959
RE1,MINSOL,2029,882.959
RE1,MINSOL,2030,882.959
RE1,MINSOL,2031,882.959
RE1,MINSOL,2032,882.959
RE1,MINSOL,2033,882.959
RE1,MINSOL,2034,882.959
RE1,MINSOL,2035,863.7787
RE1,MINSOL,2036,849.724
RE1,MINSOL,2037,846.3205
RE1,MINSOL,2038,842.7271
RE1,MINSOL,2039,842.4424
RE1,MINSOL,2040,842.4424
RE1,MINSOL,2041,841.3983
RE1,MINSOL,2042,841.3983
RE1,MINSOL,2043,841.3983
RE1,MINSOL,2044,841.3512
RE1,MINSOL,2045,841.3512
RE1,MINSOL,2046,841.3512
RE1,MINSOL,2047,841.3512
RE1,MINSOL,2048,841.3512
RE1,MINSOL,2049,841.3512
RE1,MINSOL,2050,841.3512
RE1,MINSOL,2051,841.3512
RE1,MINSOL,2052,841.3512
RE1,MINSOL,2053,810.6823
RE1,MINWND,2015,1.5132
RE1,MINWND,2016,3.2785
RE1,MINWND,2017,4.061
RE1,MINWND,2018,7.1325
RE1,MINWND,2019,9.745
RE1,MINWND,2020,9.745
RE1,MINWND,2021,9.9907
RE1,MINWND,2022,9.9907
RE1,MINWND,2023,9.9907
RE1,MINWND,2024,9.9907
RE1,MINWND,2025,9.9907
RE1,MINWND,2026,9.9907
RE1,MINWND,2027,9.9907
RE1,MINWND,2028,9.9907
RE1,MINWND,2029,9.9907
RE1,MINWND,2030,9.9907
RE1,MINWND,2031,9.9907
RE1,MINWND,2032,9.9907
RE1,MINWND,2033,9.9907
RE1,MINWND,2034,9.9907
RE1,MINWND,2035,9.9907
RE1,MINWND,2036,8.2254
RE1,MINWND,2037,8.2254
RE1,MINWND,2038,8.2254
RE1,MINWND,2039,8.2254
RE1,MINWND,2040,8.2254
RE1,MINWND,2041,8.2254
RE1,MINWND,2042,8.2254
RE1,MINWND,2043,8.2254
RE1,MINWND,2044,8.2254
RE1,MINWND,2045,8.2254
RE1,MINWND,2046,8.2254
RE1,MINWND,2047,3.2785
RE1,MINWND,2048,2.5866
RE1,MINWND,2049,2.5866
RE1,MINWND,2070,2376.2544
RE1,MINGEO,2024,1.4486
RE1,MINGEO,2025,1.4486
RE1,MINGEO,2026,1.4486
RE1,MINGEO,2027,1.4486
RE1,MINGEO,2028,1.4486
RE1,MINGEO,2029,1.4486
RE1,MINGEO,2030,1.4486
RE1,MINGEO,2031,1.4486
RE1,MINGEO,2032,1.4486
RE1,MINGEO,2033,1.4486
RE1,MINGEO,2034,1.4486
RE1,MINGEO,2035,1.4486
RE1,MINGEO,2036,1.4486
RE1,MINGEO,2037,1.4486
RE1,MINGEO,2038,1.4486
RE1,MINGEO,2039,1.4486
RE1,MINGEO,2040,1.4486
RE1,MINGEO,2041,1.4486
RE1,MINGEO,2042,1.4486
RE1,MINGEO,2043,1.4486
RE1,MINGEO,2044,1.4486
RE1,MINGEO,2045,1.4486
RE1,MINGEO,2046,1.4486
RE1,MINGEO,2047,1.4486
RE1,MINGEO,2048,1.4486
RE1,MINGEO,2049,1.4486
RE1,MINGEO,2050,1.4486
RE1,MINGEO,2051,1.4486
RE1,MINGEO,2052,1.4486
RE1,MINGEO,2053,1.4486
RE1,MINGEO,2054,1.4486
RE1,MINGEO,2055,1.4486
RE1,MINGEO,2056,1.4486
RE1,MINGEO,2057,1.4486
RE1,MINGEO,2058,1.4486
RE1,MINGEO,2059,1.4486
RE1,MINGEO,2060,1.4486
RE1,MINGEO,2061,1.4486
RE1,MINGEO,2062,1.4486
RE1,MINGEO,2063,1.4486
RE1,MINGEO,2064,1.4486
RE1,MINGEO,2065,1.4486
RE1,MINGEO,2066,1.4486
RE1,MINGEO,2067,1.4486
RE1,MINGEO,2068,1.4486
RE1,MINGEO,2069,1.4486
RE1,MINGEO,2070,1.4486
RE1,MINHYD,2015,51.7481
RE1,MINHYD,2016,51.7481
RE1,MINHYD,2017,51.7481
RE1,MINHYD,2018,51.7481
RE1,MINHYD,2019,51.7481
RE1,MINHYD,2020,51.7481
RE1,MINHYD,2021,51.7481
RE1,MINHYD,2022,51.7481
RE1,MINHYD,2023,51.7481
RE1,MINHYD,2024,71.6301
RE1,MINHYD,2025,71.6301
RE1,MINHYD,2026,71.6301
RE1,MINHYD,2027,71.6301
RE1,MINHYD,2028,71.6301
RE1,MINHYD,2029,71.6301
RE1,MINHYD,2030,71.6301
RE1,MINHYD,2031,71.6301
RE1,MINHYD,2032,71.6301
RE1,MINHYD,2033,71.6301
RE1,MINHYD,2034,71.6301
RE1,MINHYD,2035,71.6301
RE1,MINHYD,2036,71.6301
RE1,MINHYD,2037,71.6301
RE1,MINHYD,2038,71.6301
RE1,MINHYD,2039,71.6301
RE1,MINHYD,2040,71.6301
RE1,MINHYD,2041,71.6301
RE1,MINHYD,2042,71.6301
RE1,MINHYD,2043,71.6301
RE1,MINHYD,2044,71.6301
RE1,MINHYD,2045,71.6301
RE1,MINHYD,2046,71.6301
RE1,MINHYD,2047,71.6301
RE1,MINHYD,2048,71.6301
RE1,MINHYD,2049,71.6301
RE1,MINHYD,2050,71.6301
RE1,MINHYD,2051,71.6301
RE1,MINHYD,2052,71.6301
RE1,MINHYD,2053,71.6301
RE1,MINHYD,2054,71.6301
RE1,MINHYD,2055,71.6301
RE1,MINHYD,2056,71.6301
RE1,MINHYD,2057,71.6301
RE1,MINHYD,2058,71.6301
RE1,MINHYD,2059,71.6301
RE1,MINHYD,2060,71.6301
RE1,MINHYD,2061,71.6301
RE1,MINHYD,2062,71.6301
RE1,MINHYD,2063,71.6301
RE1,MINHYD,2064,62.0649
RE1,MINHYD,2065,62.0649
RE1,MINHYD,2066,62.0649
RE1,MINHYD,2067,62.0649
RE1,MINHYD,2068,62.0649
RE1,MINHYD,2069,62.0649
RE1,MINHYD,2070,62.0649
RE1,PWRBIO001,2015,2.978
RE1,PWRBIO001,2016,3.404
RE1,PWRBIO001,2017,3.829
RE1,PWRBIO001,2018,4.04
RE1,PWRBIO001,2019,4.04
RE1,PWRBIO001,2020,4.255
RE1,PWRBIO001,2021,4.468
RE1,PWRBIO001,2022,4.468
RE1,PWRBIO001,2023,4.468
RE1,PWRBIO001,2024,4.468
RE1,PWRBIO001,2025,4.468
RE1,PWRBIO001,2026,4.468
RE1,PWRBIO001,2027,4.468
RE1,PWRBIO001,2028,4.468
RE1,PWRBIO001,2029,4.468
RE1,PWRBIO001,2030,4.468
RE1,PWRBIO001,2031,1.49
RE1,PWRBIO001,2032,1.49
RE1,PWRBIO001,2033,1.49
RE1,PWRBIO001,2034,1.49
RE1,PWRBIO001,2035,1.49
RE1,PWRBIO001,2036,1.49
RE1,PWRBIO001,2037,1.49
RE1,PWRBIO001,2038,1.49
RE1,PWRBIO001,2039,1.49
RE1,PWRBIO001,2040,1.49
RE1,PWRBIO001,2041,1.49
RE1,PWRBIO001,2042,1.49
RE1,PWRBIO001,2043,1.49
RE1,PWRBIO001,2044,1.49
RE1,PWRBIO001,2045,1.49
RE1,PWRBIO001,2046,1.064
RE1,PWRBIO001,2047,0.639
