r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,PWRHYD001,1,2052,33.9883
RE1,PWRHYD001,1,2053,33.9883
RE1,PWRHYD001,1,2054,33.9883
RE1,PWRHYD001,1,2055,33.9883
RE1,PWRHYD001,1,2056,33.9883
RE1,PWRHYD001,1,2057,33.9883
RE1,PWRHYD001,1,2058,33.9883
RE1,PWRHYD001,1,2059,33.9883
RE1,PWRHYD001,1,2060,33.9883
RE1,PWRHYD001,1,2061,33.9883
RE1,PWRHYD001,1,2062,33.9883
RE1,PWRHYD001,1,2063,33.9883
RE1,PWRHYD001,1,2064,33.9883
RE1,PWRHYD001,1,2065,33.9883
RE1,PWRHYD001,1,2066,33.9883
RE1,PWRHYD001,1,2067,32.6685
RE1,PWRHYD001,1,2068,32.6685
RE1,PWRHYD001,1,2069,33.9883
RE1,PWRHYD001,1,2070,20.2478
RE1,PWRHYD002,1,2015,1.1525
RE1,PWRHYD002,1,2016,1.1525
RE1,PWRHYD002,1,2017,1.1525
RE1,PWRHYD002,1,2018,1.1525
RE1,PWRHYD002,1,2019,1.1525
RE1,PWRHYD002,1,2020,1.1525
RE1,PWRHYD002,1,2021,1.1525
RE1,PWRHYD002,1,2022,1.1525
RE1,PWRHYD002,1,2023,1.1525
RE1,PWRHYD002,1,2024,1.3823
RE1,PWRHYD002,1,2025,1.3823
RE1,PWRHYD002,1,2026,1.3823
RE1,PWRHYD002,1,2027,1.3823
RE1,PWRHYD002,1,2028,1.3823
RE1,PWRHYD002,1,2029,1.3823
RE1,PWRHYD002,1,2030,1.3823
RE1,PWRHYD002,1,2031,1.3823
RE1,PWRHYD002,1,2032,1.3823
RE1,PWRHYD002,1,2033,1.3823
RE1,PWRHYD002,1,2034,1.3823
RE1,PWRHYD002,1,2035,1.3823
RE1,PWRHYD002,1,2036,1.3823
RE1,PWRHYD002,1,2037,1.3823
RE1,PWRHYD002,1,2038,1.3823
RE1,PWRHYD002,1,2039,1.3823
RE1,PWRHYD002,1,2040,1.3823
RE1,PWRHYD002,1,2041,1.3823
RE1,PWRHYD002,1,2042,1.3823
RE1,PWRHYD002,1,2043,1.3823
RE1,PWRHYD002,1,2044,1.3823
RE1,PWRHYD002,1,2045,1.3823
RE1,PWRHYD002,1,2046,1.3823
RE1,PWRHYD002,1,2047,1.3823
RE1,PWRHYD002,1,2048,1.3823
RE1,PWRHYD002,1,2049,1.3823
RE1,PWRHYD002,1,2050,1.3823
RE1,PWRHYD002,1,2051,1.3823
RE1,PWRHYD002,1,2052,1.3823
RE1,PWRHYD002,1,2053,1.3823
RE1,PWRHYD002,1,2054,1.3823
RE1,PWRHYD002,1,2055,1.3823
RE1,PWRHYD002,1,2056,1.3823
RE1,PWRHYD002,1,2057,1.3823
RE1,PWRHYD002,1,2058,1.3823
RE1,PWRHYD002,1,2059,1.3823
RE1,PWRHYD002,1,2060,1.3823
RE1,PWRHYD002,1,2061,1.3823
RE1,PWRHYD002,1,2062,1.3823
RE1,PWRHYD002,1,2063,1.3823
RE1,PWRHYD002,1,2064,1.3823
RE1,PWRHYD002,1,2065,1.3823
RE1,PWRHYD002,1,2066,1.3823
RE1,PWRHYD002,1,2067,1.3286
RE1,PWRHYD002,1,2068,1.3286
RE1,PWRHYD002,1,2069,1.3823
RE1,PWRHYD002,1,2070,0.8043
RE1,PWRHYD003,1,2024,4.9061
RE1,PWRHYD003,1,2025,4.9061
RE1,PWRHYD003,1,2026,4.9061
RE1,PWRHYD003,1,2027,4.9061
RE1,PWRHYD003,1,2028,4.9061
RE1,PWRHYD003,1,2029,4.9061
RE1,PWRHYD003,1,2030,4.9061
RE1,PWRHYD003,1,2031,4.9061
RE1,PWRHYD003,1,2032,4.9061
RE1,PWRHYD003,1,2033,4.9061
RE1,PWRHYD003,1,2034,4.9061
RE1,PWRHYD003,1,2035,4.9061
RE1,PWRHYD003,1,2036,4.9061
RE1,PWRHYD003,1,2037,4.9061
RE1,PWRHYD003,1,2038,4.9061
RE1,PWRHYD003,1,2039,4.9061
RE1,PWRHYD003,1,2040,4.9061
RE1,PWRHYD003,1,2041,4.9061
RE1,PWRHYD003,1,2042,4.9061
RE1,PWRHYD003,1,2043,4.9061
RE1,PWRHYD003,1,2044,4.9061
RE1,PWRHYD003,1,2045,4.9061
RE1,PWRHYD003,1,2046,4.9061
RE1,PWRHYD003,1,2047,4.9061
RE1,PWRHYD003,1,2048,4.9061
RE1,PWRHYD003,1,2049,4.9061
RE1,PWRHYD003,1,2050,4.9061
RE1,PWRHYD003,1,2051,4.9061
RE1,PWRHYD003,1,2052,4.9061
RE1,PWRHYD003,1,2053,4.9061
RE1,PWRHYD003,1,2054,4.9061
RE1,PWRHYD003,1,2055,4.9061
RE1,PWRHYD003,1,2056,4.9061
RE1,PWRHYD003,1,2057,4.9061
RE1,PWRHYD003,1,2058,4.9061
RE1,PWRHYD003,1,2059,4.9061
RE1,PWRHYD003,1,2060,4.9061
RE1,PWRHYD003,1,2061,4.9061
RE1,PWRHYD003,1,2062,4.9061
RE1,PWRHYD003,1,2063,4.9061
RE1,PWRWND001,1,2015,1.1746
RE1,PWRWND001,1,2016,2.545
RE1,PWRWND001,1,2017,3.1524
RE1,PWRWND001,1,2018,5.5368
RE1,PWRWND001,1,2019,7.5648
RE1,PWRWND001,1,2020,7.5648
RE1,PWRWND001,1,2021,7.7555
RE1,PWRWND001,1,2022,7.7555
RE1,PWRWND001,1,2023,7.7555
RE1,PWRWND001,1,2024,7.7555
RE1,PWRWND001,1,2025,7.7555
RE1,PWRWND001,1,2026,7.7555
RE1,PWRWND001,1,2027,7.7555
RE1,PWRWND001,1,2028,7.7555
RE1,PWRWND001,1,2029,7.7555
RE1,PWRWND001,1,2030,7.7555
RE1,PWRWND001,1,2031,7.7555
RE1,PWRWND001,1,2032,7.7555
RE1,PWRWND001,1,2033,7.7555
RE1,PWRWND001,1,2034,7.7555
RE1,PWRWND001,1,2035,7.7555
RE1,PWRWND001,1,2036,6.3851
RE1,PWRWND001,1,2037,6.3851
RE1,PWRWND001,1,2038,6.3851
RE1,PWRWND001,1,2039,6.3851
RE1,PWRWND001,1,2040,6.3851
RE1,PWRWND001,1,2041,6.3851
RE1,PWRWND001,1,2042,6.3851
RE1,PWRWND001,1,2043,6.3851
RE1,PWRWND001,1,2044,6.3851
RE1,PWRWND001,1,2045,6.3851
RE1,PWRWND001,1,2046,6.3851
RE1,PWRWND001,1,2047,2.545
RE1,PWRWND001,1,2048,2.0079
RE1,PWRWND001,1,2049,2.0079
RE1,PWRWND001,1,2070,1358.4219
RE1,PWRSOL001S,1,2024,483.4318
RE1,PWRSOL001S,1,2025,662.9416
RE1,PWRSOL001S,1,2026,686.4467
RE1,PWRSOL001S,1,2027,710.8619
RE1,PWRSOL001S,1,2028,735.6988
RE1,PWRSOL001S,1,2029,773.3037
RE1,PWRSOL001S,1,2030,1498.9974
RE1,PWRSOL001S,1,2031,1532.931
RE1,PWRSOL001S,1,2032,1566.8101
RE1,PWRSOL001S,1,2033,1600.6364
RE1,PWRSOL001S,1,2034,1634.4116
RE1,PWRSOL001S,1,2035,1688.6932
RE1,PWRSOL001S,1,2036,1734.439
RE1,PWRSOL001S,1,2037,1785.3026
RE1,PWRSOL001S,1,2038,1841.9598
RE1,PWRSOL001S,1,2039,1897.0667
RE1,PWRSOL001S,1,2040,2027.9697
RE1,PWRSOL001S,1,2041,2042.6662
RE1,PWRSOL001S,1,2042,2076.8879
RE1,PWRSOL001S,1,2043,2122.8121
RE1,PWRSOL001S,1,2044,2168.7079
RE1,PWRSOL001S,1,2045,2792.7186
RE1,PWRSOL001S,1,2046,2829.9424
RE1,PWRSOL001S,1,2047,2868.1854
RE1,PWRSOL001S,1,2048,2904.6048
RE1,PWRSOL001S,1,2049,2947.4722
RE1,PWRSOL001S,1,2050,4569.6303
RE1,PWRSOL001S,1,2051,4609.896
RE1,PWRSOL001S,1,2052,4650.5014
RE1,PWRSOL001S,1,2053,4695.3014
RE1,PWRSOL001S,1,2054,5105.7805
RE1,PWRSOL001S,1,2055,5147.4232
RE1,PWRSOL001S,1,2056,5189.4177
RE1,PWRSOL001S,1,2057,5231.7672
RE1,PWRSOL001S,1,2058,5274.4746
RE1,PWRSOL001S,1,2059,5326.6569
RE1,PWRSOL001S,1,2060,5359.3602
RE1,PWRSOL001S,1,2061,5404.7763
RE1,PWRSOL001S,1,2062,5448.9473
RE1,PWRSOL001S,1,2063,5493.4922
RE1,PWRSOL001S,1,2064,5541.611
RE1,PWRSOL001S,1,2065,5586.9137
RE1,PWRSOL001S,1,2066,5632.6002
RE1,PWRSOL001S,1,2067,5680.0685
RE1,PWRSOL001S,1,2068,5666.4275
RE1,PWRSOL001S,1,2069,5622.7255
RE1,PWRSOL001S,1,2070,5491.8225
RE1,PWRTRNIMP,1,2015,52.0
RE1,PWRTRNIMP,1,2016,71.0
RE1,PWRTRNIMP,1,2017,88.0
RE1,PWRTRNIMP,1,2018,96.0
RE1,PWRTRNIMP,1,2019,96.0
RE1,PWRTRNIMP,1,2020,96.0
RE1,PWRTRNIMP,1,2021,96.0
RE1,PWRTRNIMP,1,2022,96.0
RE1,PWRTRNIMP,1,2023,96.0
RE1,PWRTRNIMP,1,2024,96.0
RE1,PWRTRNIMP,1,2025,96.0
RE1,PWRTRNIMP,1,2026,96.0
RE1,PWRTRNIMP,1,2027,96.0
RE1,PWRTRNIMP,1,2028,96.0
RE1,PWRTRNIMP,1,2029,96.0
RE1,PWRTRNIMP,1,2030,96.0
RE1,PWRTRNIMP,1,2031,96.0
RE1,PWRTRNIMP,1,2032,96.0
RE1,PWRTRNIMP,1,2033,96.0
RE1,PWRTRNIMP,1,2034,96.0
RE1,PWRTRNIMP,1,2035,96.0
RE1,PWRTRNIMP,1,2036,96.0
RE1,PWRTRNIMP,1,2037,96.0
RE1,PWRTRNIMP,1,2038,96.0
RE1,PWRTRNIMP,1,2039,96.0
RE1,PWRTRNIMP,1,2040,96.0
RE1,PWRTRNIMP,1,2041,96.0
RE1,PWRTRNIMP,1,2042,96.0
RE1,PWRTRNIMP,1,2043,96.0
RE1,PWRTRNIMP,1,2044,96.0
RE1,PWRTRNIMP,1,2045,96.0
RE1,PWRTRNIMP,1,2046,96.0
RE1,PWRTRNIMP,1,2047,96.0
RE1,PWRTRNIMP,1,2048,96.0
RE1,PWRTRNIMP,1,2049,96.0
RE1,PWRTRNIMP,1,2050,96.0
RE1,PWRTRNIMP,1,2051,96.0
RE1,PWRTRNIMP,1,2052,96.0
RE1,PWRTRNIMP,1,2053,96.0
RE1,PWRTRNIMP,1,2054,96.0
RE1,PWRTRNIMP,1,2055,96.0
RE1,PWRTRNIMP,1,2056,96.0
RE1,PWRTRNIMP,1,2057,96.0
RE1,PWRTRNIMP,1,2058,96.0
RE1,PWRTRNIMP,1,2059,96.0
RE1,PWRTRNIMP,1,2060,96.0
RE1,PWRTRNIMP,1,2061,96.0
RE1,PWRTRNIMP,1,2062,96.0
RE1,PWRTRNIMP,1,2063,96.0
RE1,PWRTRNIMP,1,2064,96.0
RE1,PWRTRNIMP,1,2065,96.0
RE1,PWRTRNIMP,1,2066,96.0
RE1,PWRTRNIMP,1,2067,96.0
RE1,PWRTRNIMP,1,2068,96.0
RE1,PWRTRNIMP,1,2069,96.0
RE1,PWRTRNIMP,1,2070,96.0
RE1,PWRTRN,1,2015,711.6784
RE1,PWRTRN,1,2016,751.7444
RE1,PWRTRN,1,2017,786.4668
RE1,PWRTRN,1,2018,821.3276
RE1,PWRTRN,1,2019,855.5038
RE1,PWRTRN,1,2020,889.6576
RE1,PWRTRN,1,2021,915.6962
RE1,PWRTRN,1,2022,941.7178
RE1,PWRTRN,1,2023,961.8647
RE1,PWRTRN,1,2024,1376.6878
RE1,PWRTRN,1,2025,1408.0062
RE1,PWRTRN,1,2026,1439.8053
RE1,PWRTRN,1,2027,1472.6873
RE1,PWRTRN,1,2028,1505.5384
RE1,PWRTRN,1,2029,1550.4243
RE1,PWRTRN,1,2030,2272.063
RE1,PWRTRN,1,2031,2316.0553
RE1,PWRTRN,1,2032,2359.9864
RE1,PWRTRN,1,2033,2403.8582
RE1,PWRTRN,1,2034,2447.6724
RE1,PWRTRN,1,2035,2503.4822
RE1,PWRTRN,1,2036,2550.3046
RE1,PWRTRN,1,2037,2607.6995
RE1,PWRTRN,1,2038,2670.7986
RE1,PWRTRN,1,2039,2733.8091
RE1,PWRTRN,1,2040,2872.7368
RE1,PWRTRN,1,2041,2894.8202
RE1,PWRTRN,1,2042,2936.8867
RE1,PWRTRN,1,2043,2990.6506
RE1,PWRTRN,1,2044,3044.3534
RE1,PWRTRN,1,2045,3676.1937
RE1,PWRTRN,1,2046,3718.8176
RE1,PWRTRN,1,2047,3760.3905
RE1,PWRTRN,1,2048,3801.9139
RE1,PWRTRN,1,2049,3853.4738
RE1,PWRTRN,1,2050,5858.4345
RE1,PWRTRN,1,2051,5907.3461
RE1,PWRTRN,1,2052,5956.6839
RE1,PWRTRN,1,2053,6006.4519
RE1,PWRTRN,1,2054,6056.654
RE1,PWRTRN,1,2055,6107.294
RE1,PWRTRN,1,2056,6158.3759
RE1,PWRTRN,1,2057,6209.9038
RE1,PWRTRN,1,2058,6261.8816
RE1,PWRTRN,1,2059,6327.1862
RE1,PWRTRN,1,2060,6365.1626
RE1,PWRTRN,1,2061,6420.556
RE1,PWRTRN,1,2062,6474.3749
RE1,PWRTRN,1,2063,6528.6645
RE1,PWRTRN,1,2064,6584.003
RE1,PWRTRN,1,2065,6639.247
RE1,PWRTRN,1,2066,6694.9748
RE1,PWRTRN,1,2067,6751.1906
RE1,PWRTRN,1,2068,6747.7936
RE1,PWRTRN,1,2069,6715.833
RE1,PWRTRN,1,2070,6963.5569
RE1,PWRDIST,1,2015,668.4143
RE1,PWRDIST,1,2016,706.2764
RE1,PWRDIST,1,2017,739.1412
RE1,PWRDIST,1,2018,772.1574
RE1,PWRDIST,1,2019,804.5514
RE1,PWRDIST,1,2020,836.9454
RE1,PWRDIST,1,2021,861.7236
RE1,PWRDIST,1,2022,886.5018
RE1,PWRDIST,1,2023,905.764
RE1,PWRDIST,1,2024,1296.8169
RE1,PWRDIST,1,2025,1326.7525
RE1,PWRDIST,1,2026,1357.1605
RE1,PWRDIST,1,2027,1388.6091
RE1,PWRDIST,1,2028,1420.0489
RE1,PWRDIST,1,2029,1462.8641
RE1,PWRDIST,1,2030,2144.4488
RE1,PWRDIST,1,2031,2186.6843
RE1,PWRDIST,1,2032,2228.8892
RE1,PWRDIST,1,2033,2271.0651
RE1,PWRDIST,1,2034,2313.2136
RE1,PWRDIST,1,2035,2366.7295
RE1,PWRDIST,1,2036,2411.7806
RE1,PWRDIST,1,2037,2466.862
RE1,PWRDIST,1,2038,2527.3767
RE1,PWRDIST,1,2039,2587.8465
RE1,PWRDIST,1,2040,2720.2423
RE1,PWRDIST,1,2041,2742.0461
RE1,PWRDIST,1,2042,2782.7981
RE1,PWRDIST,1,2043,2834.6632
RE1,PWRDIST,1,2044,2886.5037
RE1,PWRDIST,1,2045,3486.7165
RE1,PWRDIST,1,2046,3528.2901
RE1,PWRDIST,1,2047,3568.8926
RE1,PWRDIST,1,2048,3609.4737
RE1,PWRDIST,1,2049,3659.612
RE1,PWRDIST,1,2050,5565.5127
RE1,PWRDIST,1,2051,5611.9787
RE1,PWRDIST,1,2052,5658.8497
RE1,PWRDIST,1,2053,5706.1294
RE1,PWRDIST,1,2054,5753.8213
RE1,PWRDIST,1,2055,5801.9293
RE1,PWRDIST,1,2056,5850.4571
RE1,PWRDIST,1,2057,5899.4086
RE1,PWRDIST,1,2058,5948.7876
RE1,PWRDIST,1,2059,6010.8269
RE1,PWRDIST,1,2060,6046.9045
RE1,PWRDIST,1,2061,6099.5282
RE1,PWRDIST,1,2062,6150.6561
RE1,PWRDIST,1,2063,6202.2313
RE1,PWRDIST,1,2064,6254.8029
RE1,PWRDIST,1,2065,6307.2847
RE1,PWRDIST,1,2066,6360.226
RE1,PWRDIST,1,2067,6413.631
RE1,PWRDIST,1,2068,6410.4039
RE1,PWRDIST,1,2069,6380.0413
RE1,PWRDIST,1,2070,6615.3791
RE1,PWRHYD004,1,2024,0.5451
RE1,PWRHYD004,1,2025,0.5451
RE1,PWRHYD004,1,2026,0.5451
RE1,PWRHYD004,1,2027,0.5451
RE1,PWRHYD004,1,2028,0.5451
RE1,PWRHYD004,1,2029,0.5451
RE1,PWRHYD004,1,2030,0.5451
RE1,PWRHYD004,1,2031,0.5451
RE1,PWRHYD004,1,2032,0.5451
RE1,PWRHYD004,1,2033,0.5451
RE1,PWRHYD004,1,2034,0.5451
RE1,PWRHYD004,1,2035,0.5451
RE1,PWRHYD004,1,2036,0.5451
RE1,PWRHYD004,1,2037,0.5451
RE1,PWRHYD004,1,2038,0.5451
RE1,PWRHYD004,1,2039,0.5451
RE1,PWRHYD004,1,2040,0.5451
RE1,PWRHYD004,1,2041,0.5451
RE1,PWRHYD004,1,2042,0.5451
RE1,PWRHYD004,1,2043,0.5451
RE1,PWRHYD004,1,2044,0.5451
RE1,PWRHYD004,1,2045,0.5451
RE1,PWRHYD004,1,2046,0.5451
RE1,PWRHYD004,1,2047,0.5451
RE1,PWRHYD004,1,2048,0.5451
RE1,PWRHYD004,1,2049,0.5451
RE1,PWRHYD004,1,2050,0.5451
RE1,PWRHYD004,1,2051,0.5451
RE1,PWRHYD004,1,2052,0.5451
RE1,PWRHYD004,1,2053,0.5451
RE1,PWRHYD004,1,2054,0.5451
RE1,PWRHYD004,1,2055,0.5451
RE1,PWRHYD004,1,2056,0.5451
RE1,PWRHYD004,1,2057,0.5451
RE1,PWRHYD004,1,2058,0.5451
RE1,PWRHYD004,1,2059,0.5451
RE1,PWRHYD004,1,2060,0.5451
RE1,PWRHYD004,1,2061,0.5451
RE1,PWRHYD004,1,2062,0.5451
RE1,PWRHYD004,1,2063,0.5451
RE1,PWRTRNEXP,1,2015,7.6
RE1,PWRTRNEXP,1,2016,4.75
RE1,PWRTRNEXP,1,2017,3.8
RE1,PWRTRNEXP,1,2018,3.8
RE1,PWRTRNEXP,1,2019,3.8
RE1,PWRTRNEXP,1,2020,3.8
RE1,PWRTRNEXP,1,2021,3.8
RE1,PWRTRNEXP,1,2022,3.8
RE1,PWRTRNEXP,1,2023,3.8
RE1,PWRTRNEXP,1,2024,3.8
RE1,PWRTRNEXP,1,2025,3.8
RE1,PWRTRNEXP,1,2026,3.8
RE1,PWRTRNEXP,1,2027,3.8
RE1,PWRTRNEXP,1,2028,3.8
RE1,PWRTRNEXP,1,2029,3.8
RE1,PWRTRNEXP,1,2030,3.8
RE1,PWRTRNEXP,1,2031,3.8
RE1,PWRTRNEXP,1,2032,3.8
RE1,PWRTRNEXP,1,2033,3.8
RE1,PWRTRNEXP,1,2034,3.8
RE1,PWRTRNEXP,1,2035,3.8
RE1,PWRTRNEXP,1,2036,3.8
RE1,PWRTRNEXP,1,2037,3.8
RE1,PWRTRNEXP,1,2038,3.8
RE1,PWRTRNEXP,1,2039,3.8
RE1,PWRTRNEXP,1,2040,3.8
RE1,PWRTRNEXP,1,2041,3.8
RE1,PWRTRNEXP,1,2042,3.8
RE1,PWRTRNEXP,1,2043,3.8
RE1,PWRTRNEXP,1,2044,3.8
RE1,PWRTRNEXP,1,2045,3.8
RE1,PWRTRNEXP,1,2046,3.8
RE1,PWRTRNEXP,1,2047,3.8
RE1,PWRTRNEXP,1,2048,3.8
RE1,PWRTRNEXP,1,2049,3.8
RE1,PWRTRNEXP,1,2050,3.8
RE1,PWRTRNEXP,1,2051,3.8
RE1,PWRTRNEXP,1,2052,3.8
RE1,PWRTRNEXP,1,2053,3.8
RE1,PWRTRNEXP,1,2054,3.8
RE1,PWRTRNEXP,1,2055,3.8
RE1,PWRTRNEXP,1,2056,3.8
RE1,PWRTRNEXP,1,2057,3.8
RE1,PWRTRNEXP,1,2058,3.8
RE1,PWRTRNEXP,1,2059,3.8
RE1,PWRTRNEXP,1,2060,3.8
RE1,PWRTRNEXP,1,2061,3.8
RE1,PWRTRNEXP,1,2062,3.8
RE1,PWRTRNEXP,1,2063,3.8
RE1,PWRTRNEXP,1,2064,3.8
RE1,PWRTRNEXP,1,2065,3.8
RE1,PWRTRNEXP,1,2066,3.8
RE1,PWRTRNEXP,1,2067,3.8
RE1,PWRTRNEXP,1,2068,3.8
RE1,PWRTRNEXP,1,2069,3.8
RE1,PWRTRNEXP,1,2070,3.8
RE1,DEMTRAEVC,1,2024,310.224
RE1,DEMTRAEVC,1,2025,315.2839
RE1,DEMTRAEVC,1,2026,320.9196
RE1,DEMTRAEVC,1,2027,326.5544
RE1,DEMTRAEVC,1,2028,332.1882
RE1,DEMTRAEVC,1,2029,337.8212
RE1,DEMTRAEVC,1,2030,343.4535
RE1,DEMTRAEVC,1,2031,348.114
RE1,DEMTRAEVC,1,2032,352.7733
RE1,DEMTRAEVC,1,2033,357.4314
RE1,DEMTRAEVC,1,2034,362.0883
RE1,DEMTRAEVC,1,2035,366.7442
RE1,DEMTRAEVC,1,2036,370.9886
RE1,DEMTRAEVC,1,2037,375.2324
RE1,DEMTRAEVC,1,2038,379.4756
RE1,DEMTRAEVC,1,2039,383.7182
RE1,DEMTRAEVC,1,2040,387.9603
RE1,DEMTRAEVC,1,2041,391.9968
RE1,DEMTRAEVC,1,2042,396.0329
RE1,DEMTRAEVC,1,2043,400.0686
RE1,DEMTRAEVC,1,2044,404.104
RE1,DEMTRAEVC,1,2045,408.1389
RE1,DEMTRAEVC,1,2046,411.294
RE1,DEMTRAEVC,1,2047,414.4488
RE1,DEMTRAEVC,1,2048,417.6035
RE1,DEMTRAEVC,1,2049,427.5403
RE1,DEMTRAEVC,1,2050,2119.562
RE1,DEMTRAEVC,1,2051,2135.7033
RE1,DEMTRAEVC,1,2052,2151.9694
RE1,DEMTRAEVC,1,2053,2168.3614
RE1,DEMTRAEVC,1,2054,2184.8802
RE1,DEMTRAEVC,1,2055,2201.5267
RE1,DEMTRAEVC,1,2056,2218.3021
RE1,DEMTRAEVC,1,2057,2235.2072
RE1,DEMTRAEVC,1,2058,2252.2431
RE1,DEMTRAEVC,1,2059,2269.4109
RE1,DEMTRAEVC,1,2060,2286.7115
RE1,DEMTRAEVC,1,2061,2304.146
RE1,DEMTRAEVC,1,2062,2321.7154
RE1,DEMTRAEVC,1,2063,2339.4209
RE1,DEMTRAEVC,1,2064,2357.2633
RE1,DEMTRAEVC,1,2065,2375.2439
RE1,DEMTRAEVC,1,2066,2393.3637
RE1,DEMTRAEVC,1,2067,2411.6237
RE1,DEMTRAEVC,1,2068,2430.0251
RE1,DEMTRAEVC,1,2069,2448.569
RE1,DEMTRAEVC,1,2070,2467.2565
RE1,DEMTRAMCYELC,1,2024,279.4811
RE1,DEMTRAMCYELC,1,2025,284.0396
RE1,DEMTRAMCYELC,1,2026,289.1168
RE1,DEMTRAMCYELC,1,2027,294.1931
RE1,DEMTRAMCYELC,1,2028,299.2687
RE1,DEMTRAMCYELC,1,2029,304.3435
RE1,DEMTRAMCYELC,1,2030,309.4175
RE1,DEMTRAMCYELC,1,2031,313.6162
RE1,DEMTRAMCYELC,1,2032,317.8138
RE1,DEMTRAMCYELC,1,2033,322.0103
RE1,DEMTRAMCYELC,1,2034,326.2057
RE1,DEMTRAMCYELC,1,2035,330.4001
RE1,DEMTRAMCYELC,1,2036,334.224
RE1,DEMTRAMCYELC,1,2037,338.0472
RE1,DEMTRAMCYELC,1,2038,341.8699
RE1,DEMTRAMCYELC,1,2039,345.6921
RE1,DEMTRAMCYELC,1,2040,349.5138
RE1,DEMTRAMCYELC,1,2041,353.1503
RE1,DEMTRAMCYELC,1,2042,356.7864
RE1,DEMTRAMCYELC,1,2043,360.4222
RE1,DEMTRAMCYELC,1,2044,364.0576
RE1,DEMTRAMCYELC,1,2045,367.6927
RE1,DEMTRAMCYELC,1,2046,370.5351
RE1,DEMTRAMCYELC,1,2047,373.3773
RE1,DEMTRAMCYELC,1,2048,376.2194
RE1,DEMTRAMCYELC,1,2049,379.0613
RE1,DEMTRAMCYELC,1,2050,381.9031
RE1,DEMTRAMCYELC,1,2051,384.8114
RE1,DEMTRAMCYELC,1,2052,387.7422
RE1,DEMTRAMCYELC,1,2053,390.6957
RE1,DEMTRAMCYELC,1,2054,393.6721
RE1,DEMTRAMCYELC,1,2055,396.6715
RE1,DEMTRAMCYELC,1,2056,399.6941
RE1,DEMTRAMCYELC,1,2057,402.74
RE1,DEMTRAMCYELC,1,2058,405.8096
RE1,DEMTRAMCYELC,1,2059,408.9029
RE1,DEMTRAMCYELC,1,2060,412.0201
RE1,DEMTRAMCYELC,1,2061,415.1614
RE1,DEMTRAMCYELC,1,2062,418.3271
RE1,DEMTRAMCYELC,1,2063,421.5173
RE1,DEMTRAMCYELC,1,2064,424.7321
RE1,DEMTRAMCYELC,1,2065,427.9719
RE1,DEMTRAMCYELC,1,2066,431.2367
RE1,DEMTRAMCYELC,1,2067,434.5268
RE1,DEMTRAMCYELC,1,2068,437.8424
RE1,DEMTRAMCYELC,1,2069,441.1836
RE1,DEMTRAMCYELC,1,2070,444.5507
RE1,DEMTRACARELC,1,2049,6.1101
RE1,DEMTRACARELC,1,2050,821.0916
RE1,DEMTRACARELC,1,2051,827.3445
RE1,DEMTRACARELC,1,2052,833.6458
RE1,DEMTRACARELC,1,2053,839.9959
RE1,DEMTRACARELC,1,2054,846.395
RE1,DEMTRACARELC,1,2055,852.8437
RE1,DEMTRACARELC,1,2056,859.3422
RE1,DEMTRACARELC,1,2057,865.8911
RE1,DEMTRACARELC,1,2058,872.4906
RE1,DEMTRACARELC,1,2059,879.1412
RE1,DEMTRACARELC,1,2060,885.8432
RE1,DEMTRACARELC,1,2061,892.5971
RE1,DEMTRACARELC,1,2062,899.4033
RE1,DEMTRACARELC,1,2063,906.2621
RE1,DEMTRACARELC,1,2064,913.1741
RE1,DEMTRACARELC,1,2065,920.1395
RE1,DEMTRACARELC,1,2066,927.1589
RE1,DEMTRACARELC,1,2067,934.2326
RE1,DEMTRACARELC,1,2068,941.3611
RE1,DEMTRACARELC,1,2069,948.5448
RE1,DEMTRACARELC,1,2070,955.784
RE1,DEMTRABUSELC,1,2050,706.5207
RE1,DEMTRABUSELC,1,2051,711.9011
RE1,DEMTRABUSELC,1,2052,717.3232
RE1,DEMTRABUSELC,1,2053,722.7871
RE1,DEMTRABUSELC,1,2054,728.2934
RE1,DEMTRABUSELC,1,2055,733.8422
RE1,DEMTRABUSELC,1,2056,739.434
RE1,DEMTRABUSELC,1,2057,745.0691
RE1,DEMTRABUSELC,1,2058,750.7477
RE1,DEMTRABUSELC,1,2059,756.4703
RE1,DEMTRABUSELC,1,2060,762.2372
RE1,DEMTRABUSELC,1,2061,768.0487
RE1,DEMTRABUSELC,1,2062,773.9051
RE1,DEMTRABUSELC,1,2063,779.807
RE1,DEMTRABUSELC,1,2064,785.7544
RE1,DEMTRABUSELC,1,2065,791.748
RE1,DEMTRABUSELC,1,2066,797.7879
RE1,DEMTRABUSELC,1,2067,803.8746
RE1,DEMTRABUSELC,1,2068,810.0084
RE1,DEMTRABUSELC,1,2069,816.1897
RE1,DEMTRABUSELC,1,2070,822.4188
RE1,DEMTRAMCYGSL,1,2015,229.6235
RE1,DEMTRAMCYGSL,1,2016,238.4248
RE1,DEMTRAMCYGSL,1,2017,243.9061
RE1,DEMTRAMCYGSL,1,2018,249.8175
RE1,DEMTRAMCYGSL,1,2019,255.529
RE1,DEMTRAMCYGSL,1,2020,261.2392
RE1,DEMTRAMCYGSL,1,2021,265.801
RE1,DEMTRAMCYGSL,1,2022,270.3619
RE1,DEMTRAMCYGSL,1,2023,274.9219
RE1,DEMTRACARGSL,1,2015,493.6906
