r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,IMPNGS,1,2032,318.9954
RE1,IMPNGS,1,2033,337.1778
RE1,IMPNGS,1,2034,355.3483
RE1,IMPNGS,1,2035,373.507
RE1,IMPNGS,1,2036,389.215
RE1,IMPNGS,1,2037,427.6226
RE1,IMPNGS,1,2038,442.1662
RE1,IMPNGS,1,2039,456.7002
RE1,IMPNGS,1,2040,471.2248
RE1,IMPNGS,1,2041,485.4331
RE1,IMPNGS,1,2042,511.3377
RE1,IMPNGS,1,2043,525.5275
RE1,IMPNGS,1,2044,539.7081
RE1,IMPNGS,1,2045,553.8794
RE1,IMPNGS,1,2046,570.7053
RE1,IMPNGS,1,2047,590.7183
RE1,IMPNGS,1,2048,604.4215
RE1,IMPNGS,1,2049,620.155
RE1,IMPNGS,1,2050,1320.2209
RE1,IMPNGS,1,2051,1339.3959
RE1,IMPNGS,1,2052,1355.2015
RE1,IMPNGS,1,2053,1371.1654
RE1,IMPNGS,1,2054,1387.289
RE1,IMPNGS,1,2055,1403.5741
RE1,IMPNGS,1,2056,1420.0223
RE1,IMPNGS,1,2057,1436.6353
RE1,IMPNGS,1,2058,1453.4147
RE1,IMPNGS,1,2059,1477.1659
RE1,IMPNGS,1,2060,1486.7103
RE1,IMPNGS,1,2061,1504.7692
RE1,IMPNGS,1,2062,1522.2319
RE1,IMPNGS,1,2063,1539.8698
RE1,IMPNGS,1,2064,1561.8175
RE1,IMPNGS,1,2065,1579.8113
RE1,IMPNGS,1,2066,1597.9859
RE1,IMPNGS,1,2067,1616.343
RE1,IMPNGS,1,2068,1634.8845
RE1,IMPNGS,1,2069,1653.6124
RE1,MINNGS,1,2015,377.8348
RE1,MINNGS,1,2016,796.9507
RE1,MINNGS,1,2017,806.5935
RE1,MINNGS,1,2018,614.6364
RE1,MINNGS,1,2019,672.5961
RE1,MINNGS,1,2020,725.873
RE1,MINNGS,1,2021,763.3577
RE1,MINNGS,1,2022,810.4568
RE1,MINNGS,1,2023,846.9226
RE1,MINNGS,1,2024,272.5593
RE1,MINNGS,1,2025,156.0388
RE1,MINNGS,1,2026,170.1081
RE1,MINNGS,1,2027,186.0722
RE1,MINSOL,1,2015,8.5316
RE1,MINSOL,1,2016,14.7631
RE1,MINSOL,1,2017,16.2722
RE1,MINSOL,1,2018,17.8654
RE1,MINSOL,1,2019,17.9916
RE1,MINSOL,1,2020,17.9916
RE1,MINSOL,1,2021,18.4546
RE1,MINSOL,1,2022,18.4546
RE1,MINSOL,1,2023,18.4546
RE1,MINSOL,1,2024,391.4914
RE1,MINSOL,1,2025,391.4914
RE1,MINSOL,1,2026,391.4914
RE1,MINSOL,1,2027,391.4914
RE1,MINSOL,1,2028,391.4914
RE1,MINSOL,1,2029,391.4914
RE1,MINSOL,1,2030,391.4914
RE1,MINSOL,1,2031,391.4914
RE1,MINSOL,1,2032,391.4914
