y,Capital costs,Fixed costs,Variable costs,Fuel costs
2015,0.0,1.6709771801629132,9.994908960229995e-05,3.906504852640462
2016,0.0,1.6702429981749989,0.00010001580709594907,4.252419578349131
2017,0.0,1.6516176633828223,9.997224920216456e-05,4.6285805468822625
2018,0.0,1.6391947591737772,0.00010004729266164432,5.060548030614906
2019,0.1276631925698318,1.648579893356465,0.00010007398714154505,5.478216092343899
2020,2.298300336343592,2.413009055310818,9.997552618697994e-05,3.801892688044751
2021,2.3168488606158113,2.3877497433584733,9.998635201129816e-05,3.8210648737339707
2022,2.3562296432485574,2.358294902737856,9.999827191926407e-05,3.8583868359813374
2023,2.3933298152223568,2.3305152758267527,9.995466781582822e-05,3.894469710639347
2024,2.4283265059310373,1.8698462651966177,9.996843674833207e-05,3.929394641848776
2025,2.6751203051564936,1.8566763224648233,9.998252424099601e-05,3.9632760577456856
2026,2.7029518857817036,1.8244437868908985,9.99881640361666e-05,3.997862923354101
2027,2.7291883103693633,1.8122147708107081,9.994344712306007e-05,4.137227110404197
2028,2.7540112716143073,1.7977050545789315,9.995177765113323e-05,4.522623996547133
2029,2.8036593831779184,1.7839818961591016,9.996014877789587e-05,4.560297224009812
2030,2.825238944306581,1.7471717036269814,9.996855753047146e-05,4.5970231008086655
2031,3.098477427335063,1.698042004232776,0.00010002291630157854,4.881528454121995
2032,3.0537768455808707,1.6666506867573603,9.994362602642147e-05,5.007226047198975
2033,2.97224529275061,1.6050190552346597,9.995491395370597e-05,5.162430655191556
2034,2.8949660778244657,1.556418581335808,9.996602894996315e-05,5.310931000349426
2035,2.8216491629346794,1.5034690737884306,9.99781953854975e-05,5.512311442972001
2036,2.8637863138358317,1.487154345417128,0.00010000791514959631,5.605092750588738
2037,2.975344096369715,1.4848929779902522,9.999844783162077e-05,5.670577931311464
2038,3.1313579752618685,1.480189512307452,9.995166084947493e-05,5.626630761633204
2039,3.145720167970018,1.4787608187527537,9.995444735682655e-05,5.689747419524552
2040,3.1909800281277247,1.4768409443164037,9.995712982335288e-05,5.726990877566413
2041,3.222532850287588,1.4750345802867173,9.99985606540388e-05,5.730003555644444
2042,3.2730680688374005,1.4738259311105453,9.996889228245806e-05,5.745704995887711
2043,3.283260105345973,1.4726436402289906,9.997498888394842e-05,5.761216041926692
2044,3.3605604399110036,1.4700471570867095,9.998258500056342e-05,5.723839791740219
2045,3.4351477498652616,1.4677335209111178,9.998925568777028e-05,5.688267745365476
2046,3.462034568809511,1.4634176286668303,9.99727829740907e-05,5.729413156623529
2047,3.497256484347289,1.432880737437281,0.00010002264292113372,5.785004900748566
2048,3.5131134735366887,1.42714179097213,9.997436554729556e-05,5.814119823667986
2049,3.4525054907012365,1.4268099683275197,9.99913357956788e-05,5.82825129033104
2050,2.3435161334664714,1.4115421822879142,0.00010000856944263712,5.862694993770243
2051,2.5785432474157983,1.3826110640434277,0.00010000313784555524,5.989651564223176
2052,2.5362239099197263,1.3831926985742118,9.99851092607989e-05,5.991568356779942
2053,2.4950704683921145,1.3837667575533592,9.998558490033647e-05,5.99345924603803
2054,2.4550644444123955,1.3843352224314482,0.00010000394193828137,5.995332765522136
2055,2.295297865680842,1.384936204911742,0.00010000959324635456,5.997197507249111
2056,2.2547647239847977,1.3856540759709775,0.0001000023711291317,5.999025687523087
2057,2.2153962145640462,1.386362205831934,9.998271107868218e-05,6.000826837432164
2058,2.1771796519232023,1.387066645807259,0.00010000927084781901,6.002626606835624
2059,2.1242852442041356,1.3877613492170335,9.999398489348964e-05,6.004398654409549
2060,2.088463728829465,1.3884444054270657,9.999461937760357e-05,6.006134978231211
2061,1.8898673482963138,1.3891257699630417,0.00010001119946242579,6.007878110145692
2062,1.8878983894719135,1.3897956522822335,0.00010001467140211543,6.009585384680766
2063,1.9114975599075865,1.390460042859606,0.00010000574745675039,6.011282445064557
2064,1.934818632809769,1.3911133029186216,9.998430557585008e-05,6.012945113376755
2065,1.9578728453032634,1.391761289304222,0.0001000045480934125,6.014598858688477
2066,1.9149807296793093,1.3923985864528008,0.00010001163848741985,6.016219207040942
2067,1.8254383752851708,1.3930345603138283,0.00010000653808434128,6.017846979239375
2068,1.7050803570515052,1.3936602343158115,9.998888150528903e-05,6.019443268126965
2069,1.6800776888571685,1.3942741479851009,0.00010000997031912691,6.021001791524547
2070,1.6342433762758677,1.3948854602946714,9.999317538995063e-05,6.022561556666633
