r,t,y,SalvageValue
RE1,PWRBIO001,2047,283.0751
RE1,PWRBIO001,2048,422.9652
RE1,PWRBIO001,2049,466.5166
RE1,PWRBIO001,2050,68006.096
RE1,PWRBIO001,2051,2722.5183
RE1,PWRBIO001,2052,1846.4129
RE1,PWRBIO001,2053,1933.3459
RE1,PWRBIO001,2054,2179.36
RE1,PWRBIO001,2055,2418.7663
RE1,PWRBIO001,2056,2651.868
RE1,PWRBIO001,2057,2878.9291
RE1,PWRBIO001,2058,3100.2137
RE1,PWRBIO001,2059,2813.2766
RE1,PWRBIO001,2060,7926.4056
RE1,PWRBIO001,2061,5132.504
RE1,PWRBIO001,2062,10311.852
RE1,PWRBIO001,2063,9918.9317
RE1,PWRBIO001,2064,7629.2724
RE1,PWRBIO001,2065,7296.037
RE1,PWRBIO001,2066,9157.4877
RE1,PWRBIO001,2067,10093.339
RE1,PWRBIO001,2068,8217.0017
RE1,PWRBIO001,2069,8612.9971
RE1,PWRCOA001,2019,644.2451
RE1,PWRCOA001,2020,12587.988
RE1,PWRCOA001,2021,569.4425
RE1,PWRCOA001,2022,769.6741
RE1,PWRCOA001,2023,820.7329
RE1,PWRCOA001,2024,6646.3237
RE1,PWRCOA001,2025,527.2922
RE1,PWRCOA001,2026,1935.5151
RE1,PWRCOA001,2027,1143.484
RE1,PWRCOA001,2031,4152.2819
RE1,PWRCOA001,2032,1145.6367
RE1,PWRCOA001,2033,1643.2457
RE1,PWRCOA001,2034,1151.982
RE1,PWRGEO,2024,3.0012
RE1,PWRSOL001,2042,12.0872
RE1,PWRSOL001,2043,23.5945
RE1,PWRSOL001,2044,34.5495
RE1,PWRSOL001,2045,44.9789
RE1,PWRSOL001,2046,40.0806
RE1,PWRSOL001,2047,46.9837
RE1,PWRSOL001,2048,53.5559
RE1,PWRSOL001,2049,59.8153
RE1,PWRSOL001,2050,5644.387
RE1,PWRSOL001,2051,323.6808
RE1,PWRSOL001,2052,131.5694
RE1,PWRSOL001,2053,141.6361
RE1,PWRSOL001,2054,151.4401
RE1,PWRSOL001,2055,5744.0873
RE1,PWRSOL001,2056,267.814
RE1,PWRSOL001,2057,340.3432
RE1,PWRSOL001,2058,422.4671
RE1,PWRSOL001,2059,285.8558
RE1,PWRSOL001,2061,891.2976
RE1,PWRSOL001,2062,413.9497
RE1,PWRSOL001,2063,426.9172
RE1,PWRSOL001,2064,711.7004
RE1,PWRSOL001,2065,1231.5174
RE1,PWRSOL001,2066,1014.9303
RE1,PWRSOL001,2067,590.3692
RE1,PWRSOL001,2068,611.7886
RE1,PWRSOL001,2069,480.8954
RE1,PWRSOL001,2070,4797.4405
RE1,PWRWND001,2070,16279.594
RE1,PWRSOL001S,2042,14.7183
RE1,PWRSOL001S,2043,28.4978
RE1,PWRSOL001S,2044,41.4375
RE1,PWRSOL001S,2045,53.5029
RE1,PWRSOL001S,2046,47.3375
RE1,PWRSOL001S,2047,55.0274
RE1,PWRSOL001S,2048,62.2722
RE1,PWRSOL001S,2049,68.9607
RE1,PWRSOL001S,2050,6459.68
RE1,PWRSOL001S,2051,370.4343
RE1,PWRSOL001S,2052,150.5737
RE1,PWRSOL001S,2053,162.0945
RE1,PWRSOL001S,2054,173.3146
RE1,PWRSOL001S,2055,184.2562
RE1,PWRSOL001S,2056,194.9234
RE1,PWRSOL001S,2057,205.3336
RE1,PWRSOL001S,2058,215.4987
RE1,PWRSOL001S,2059,767.8887
RE1,PWRSOL001S,2060,9646.2745
RE1,PWRSOL001S,2061,1020.0394
RE1,PWRSOL001S,2062,473.7419
RE1,PWRSOL001S,2063,488.5825
RE1,PWRSOL001S,2064,814.5006
RE1,PWRSOL001S,2065,525.0241
RE1,PWRSOL001S,2066,499.6179
RE1,PWRSOL001S,2067,512.1561
RE1,PWRSOL001S,2068,524.3344
RE1,PWRSOL001S,2069,1754.5281
RE1,PWRSOL001S,2070,4199.3579
RE1,PWRTRN,2026,16.4028
RE1,PWRTRN,2027,130.3319
RE1,PWRTRN,2028,148.4808
RE1,PWRTRN,2029,139.3935
RE1,PWRTRN,2031,81.8967
RE1,PWRTRN,2032,138.0559
RE1,PWRTRN,2033,174.0876
RE1,PWRTRN,2034,191.7788
RE1,PWRTRN,2035,163.754
RE1,PWRTRN,2036,142.1956
RE1,PWRTRN,2037,148.0408
RE1,PWRTRN,2038,276.7195
RE1,PWRTRN,2039,159.4402
RE1,PWRTRN,2040,206.0058
RE1,PWRTRN,2041,175.7877
RE1,PWRTRN,2042,170.1789
RE1,PWRTRN,2043,175.6392
RE1,PWRTRN,2044,270.6498
RE1,PWRTRN,2045,265.4756
RE1,PWRTRN,2046,140.5762
RE1,PWRTRN,2047,207.2238
RE1,PWRTRN,2048,139.9776
RE1,PWRTRN,2049,142.3654
RE1,PWRTRN,2050,14758.259
RE1,PWRTRN,2051,9503.3829
RE1,PWRTRN,2052,293.9485
RE1,PWRTRN,2053,279.4287
RE1,PWRTRN,2054,285.5436
RE1,PWRTRN,2055,291.5773
RE1,PWRTRN,2056,297.5328
RE1,PWRTRN,2057,303.4157
RE1,PWRTRN,2058,309.2302
RE1,PWRTRN,2059,342.1041
RE1,PWRTRN,2060,183.9738
RE1,PWRTRN,2061,411.0675
RE1,PWRTRN,2062,331.5968
RE1,PWRTRN,2063,337.1231
RE1,PWRTRN,2064,369.5401
RE1,PWRTRN,2065,348.3455
RE1,PWRTRN,2066,353.7509
RE1,PWRTRN,2067,359.1212
RE1,PWRTRN,2068,364.4582
RE1,PWRTRN,2069,408.8245
RE1,PWRDIST,2028,127.0422
RE1,PWRDIST,2029,144.6586
RE1,PWRDIST,2031,75.7342
RE1,PWRDIST,2032,117.2005
RE1,PWRDIST,2033,140.1673
RE1,PWRDIST,2034,147.5663
RE1,PWRDIST,2035,121.403
RE1,PWRDIST,2036,102.0345
RE1,PWRDIST,2037,102.8825
RE1,PWRDIST,2038,185.3097
RE1,PWRDIST,2039,104.8872
RE1,PWRDIST,2040,131.8194
RE1,PWRDIST,2041,110.4229
RE1,PWRDIST,2042,104.9194
RE1,PWRDIST,2043,106.3154
RE1,PWRDIST,2044,159.9719
RE1,PWRDIST,2045,154.6032
RE1,PWRDIST,2046,81.8494
RE1,PWRDIST,2047,118.0011
RE1,PWRDIST,2048,79.5719
RE1,PWRDIST,2049,80.02
RE1,PWRDIST,2050,7952.2552
RE1,PWRDIST,2051,5321.7558
RE1,PWRDIST,2052,155.1925
RE1,PWRDIST,2053,146.1953
RE1,PWRDIST,2054,148.132
RE1,PWRDIST,2055,150.0639
RE1,PWRDIST,2056,151.9909
RE1,PWRDIST,2057,153.9144
RE1,PWRDIST,2058,155.8352
RE1,PWRDIST,2059,171.3386
RE1,PWRDIST,2060,91.6063
