r,l,t,f,y,ProductionByTechnology
RE1,S406,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S406,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S406,DEMCOMELC,COMELC,2030,2.7659
RE1,S406,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S406,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S407,MINBIO,BIO,2030,13.9465
RE1,S407,IMPCOA,COA,2030,41.0293
RE1,S407,IMPLFO,LFO,2030,77.7781
RE1,S407,MINSOL,SOL,2030,0.3678
RE1,S407,MINWND,WND,2030,0.056
RE1,S407,MINHYD,HYD,2030,0.4093
RE1,S407,PWRBIO001,ELC001,2030,1.0216
RE1,S407,PWRCOA001,ELC001,2030,9.5213
RE1,S407,PWRSOL001,ELC001,2030,0.3673
RE1,S407,PWRCSP002,ELC001,2030,0.0005
RE1,S407,PWRHYD001,ELC001,2030,0.3933
RE1,S407,PWRHYD002,ELC001,2030,0.016
RE1,S407,PWRWND001,ELC001,2030,0.056
RE1,S407,PWRTRNIMP,ELC001,2030,0.9038
RE1,S407,PWRTRN,ELC002,2030,11.5473
RE1,S407,PWRDIST,ELC003,2030,11.5473
RE1,S407,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S407,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S407,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S407,DEMINDELC,INDELC,2030,5.715
RE1,S407,DEMINDHEBIO,INDHEL,2030,5.0346
RE1,S407,DEMRESELC,RESELC,2030,2.853
RE1,S407,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S407,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S407,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S407,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S407,DEMCOMELC,COMELC,2030,2.9487
RE1,S407,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S407,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S408,MINBIO,BIO,2030,13.9465
RE1,S408,IMPCOA,COA,2030,41.0293
RE1,S408,IMPLFO,LFO,2030,77.7781
RE1,S408,MINSOL,SOL,2030,0.3678
RE1,S408,MINWND,WND,2030,0.056
RE1,S408,MINHYD,HYD,2030,0.4093
RE1,S408,PWRBIO001,ELC001,2030,1.0216
RE1,S408,PWRCOA001,ELC001,2030,9.5213
RE1,S408,PWRSOL001,ELC001,2030,0.3673
RE1,S408,PWRCSP002,ELC001,2030,0.0005
RE1,S408,PWRHYD001,ELC001,2030,0.3933
RE1,S408,PWRHYD002,ELC001,2030,0.016
RE1,S408,PWRWND001,ELC001,2030,0.056
RE1,S408,PWRTRNIMP,ELC001,2030,0.9038
RE1,S408,PWRTRN,ELC002,2030,11.5473
RE1,S408,PWRDIST,ELC003,2030,11.5473
RE1,S408,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S408,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S408,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S408,DEMINDELC,INDELC,2030,5.715
RE1,S408,DEMINDHEBIO,INDHEL,2030,5.0346
RE1,S408,DEMRESELC,RESELC,2030,2.853
RE1,S408,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S408,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S408,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S408,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S408,DEMCOMELC,COMELC,2030,2.9487
RE1,S408,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S408,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S409,MINBIO,BIO,2030,13.9465
RE1,S409,IMPCOA,COA,2030,41.0293
RE1,S409,IMPLFO,LFO,2030,77.7781
RE1,S409,MINSOL,SOL,2030,0.3678
RE1,S409,MINWND,WND,2030,0.056
RE1,S409,MINHYD,HYD,2030,0.4093
RE1,S409,PWRBIO001,ELC001,2030,1.0216
RE1,S409,PWRCOA001,ELC001,2030,9.5213
RE1,S409,PWRSOL001,ELC001,2030,0.3673
RE1,S409,PWRCSP002,ELC001,2030,0.0005
RE1,S409,PWRHYD001,ELC001,2030,0.3933
RE1,S409,PWRHYD002,ELC001,2030,0.016
RE1,S409,PWRWND001,ELC001,2030,0.056
RE1,S409,PWRTRNIMP,ELC001,2030,0.9038
RE1,S409,PWRTRN,ELC002,2030,11.5473
RE1,S409,PWRDIST,ELC003,2030,11.5473
RE1,S409,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S409,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S409,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S409,DEMINDELC,INDELC,2030,5.715
RE1,S409,DEMINDHEBIO,INDHEL,2030,5.0346
RE1,S409,DEMRESELC,RESELC,2030,2.853
RE1,S409,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S409,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S409,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S409,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S409,DEMCOMELC,COMELC,2030,2.9487
RE1,S409,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S409,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S410,MINBIO,BIO,2030,13.9465
RE1,S410,IMPCOA,COA,2030,41.0293
RE1,S410,IMPLFO,LFO,2030,77.7781
RE1,S410,MINSOL,SOL,2030,0.3678
RE1,S410,MINWND,WND,2030,0.056
RE1,S410,MINHYD,HYD,2030,0.4093
RE1,S410,PWRBIO001,ELC001,2030,1.0216
RE1,S410,PWRCOA001,ELC001,2030,9.5213
RE1,S410,PWRSOL001,ELC001,2030,0.3673
RE1,S410,PWRCSP002,ELC001,2030,0.0005
RE1,S410,PWRHYD001,ELC001,2030,0.3933
RE1,S410,PWRHYD002,ELC001,2030,0.016
RE1,S410,PWRWND001,ELC001,2030,0.056
RE1,S410,PWRTRNIMP,ELC001,2030,0.9038
RE1,S410,PWRTRN,ELC002,2030,11.5473
RE1,S410,PWRDIST,ELC003,2030,11.5473
RE1,S410,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S410,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S410,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S410,DEMINDELC,INDELC,2030,5.715
RE1,S410,DEMINDHEBIO,INDHEL,2030,5.0346
RE1,S410,DEMRESELC,RESELC,2030,2.853
RE1,S410,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S410,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S410,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S410,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S410,DEMCOMELC,COMELC,2030,2.9487
RE1,S410,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S410,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S411,MINBIO,BIO,2030,13.9465
RE1,S411,IMPCOA,COA,2030,41.0293
RE1,S411,IMPLFO,LFO,2030,77.7781
RE1,S411,MINSOL,SOL,2030,0.3678
RE1,S411,MINWND,WND,2030,0.056
RE1,S411,MINHYD,HYD,2030,0.4093
RE1,S411,PWRBIO001,ELC001,2030,1.0216
RE1,S411,PWRCOA001,ELC001,2030,9.5213
RE1,S411,PWRSOL001,ELC001,2030,0.3673
RE1,S411,PWRCSP002,ELC001,2030,0.0005
RE1,S411,PWRHYD001,ELC001,2030,0.3933
RE1,S411,PWRHYD002,ELC001,2030,0.016
RE1,S411,PWRWND001,ELC001,2030,0.056
RE1,S411,PWRTRNIMP,ELC001,2030,0.9038
RE1,S411,PWRTRN,ELC002,2030,11.5473
RE1,S411,PWRDIST,ELC003,2030,11.5473
RE1,S411,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S411,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S411,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S411,DEMINDELC,INDELC,2030,5.715
RE1,S411,DEMINDHEBIO,INDHEL,2030,5.0346
RE1,S411,DEMRESELC,RESELC,2030,2.853
RE1,S411,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S411,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S411,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S411,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S411,DEMCOMELC,COMELC,2030,2.9487
RE1,S411,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S411,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S412,MINBIO,BIO,2030,13.9465
RE1,S412,IMPCOA,COA,2030,41.0293
RE1,S412,IMPLFO,LFO,2030,77.7781
RE1,S412,MINSOL,SOL,2030,0.3678
RE1,S412,MINWND,WND,2030,0.056
RE1,S412,MINHYD,HYD,2030,0.4093
RE1,S412,PWRBIO001,ELC001,2030,1.0216
RE1,S412,PWRCOA001,ELC001,2030,9.5213
RE1,S412,PWRSOL001,ELC001,2030,0.3673
