y,Capital costs,Fixed costs,Variable costs,Fuel costs
2015,0.0,1.424962491015812,0.00010002395783421178,3.8832341565556887
2016,0.0,1.3648914691364233,0.0001000165257190484,4.331643417968841
2017,0.0028329994060845368,1.3164208853953479,9.997294278439561e-05,4.787437821741271
2018,0.413531911431556,1.4163624373867634,0.00010004795907492274,4.9375932172137516
2019,0.3959761123545556,1.3538866848658029,0.00010007398714154505,5.4512273874021355
2020,0.37985021291848164,1.2964995717082721,0.00010003671071953008,5.980660071688581
2021,1.2268581921201525,1.3314653549210493,0.0001000406343537707,5.5342146992748305
2022,2.0580751532364325,1.322307191252122,0.00010006513722412846,4.910659880909956
2023,3.0371716950980114,1.5737625935010437,0.00010003851533518477,4.16022704417716
2024,4.519698621074571,1.4760834926557385,9.999120447738393e-05,2.885428561106114
2025,5.368785793722829,1.4568197785174488,0.0001000230274864452,2.5664136473295036
2026,6.413028386541433,1.7095902526002973,9.997028231797921e-05,2.39453980522099
2027,7.420792572493466,2.0465092537755405,9.9977790938703e-05,2.1892714476690167
2028,8.256339508860437,2.3199091564076055,0.00010006717553000797,2.0152456704267676
2029,8.883781398189928,2.507714143328969,0.00010002801175190708,1.995839991827618
2030,9.539052660883842,2.603282286649096,0.00010000302947680935,1.8086180770987013
2031,10.220612153677687,2.785194153417833,0.00010000732654406919,1.714962626972822
2032,10.806564179815208,2.881916847558296,0.00010001198545764471,1.5642742059246548
2033,11.295582777003448,3.0360048568640448,0.00010001762972122695,1.397395215327872
2034,11.713365953022262,3.149453886934825,9.996701065416479e-05,1.2542255026883153
2035,12.05400091968777,3.2315948243879657,9.995067935909356e-05,1.109240569432656
2036,12.381427877512364,3.347079993814113,9.996391566575594e-05,0.9692093559528613
2037,12.701350693102793,3.4544724246836847,0.0001000183484089587,0.8366659429624105
2038,12.955042105355263,3.510130152728351,9.999629300118624e-05,0.7116920938838767
2039,13.165850336648687,3.5643033938760516,0.00010002965934128014,0.5934815173604503
2040,13.285551605214721,3.601887322044184,9.99839850302177e-05,0.48036470652932534
2041,13.397053934449854,3.655269501553381,9.997832491751428e-05,0.36598807729410343
2042,13.471620577440367,3.713178202693031,9.996950031858577e-05,0.2894955902989611
2043,13.560239183800096,3.7819430013126856,0.00010002289732186667,0.2204750136283088
2044,13.732340037370813,3.8769941601565923,0.00010001524375849028,0.1478796168786649
2045,13.88126767636364,3.8627309886206187,0.00010001394316464615,0.1714883388095241
2046,14.065669157973309,3.9653963978945543,0.0001000183166073787,0.08881589477969662
2047,14.286209785624123,4.067075388906461,0.00010000862639100555,0.01695729045743345
2048,14.708126768195523,4.241870079147739,9.997264755337271e-05,0.0
2049,15.32160941118141,4.498339266642934,9.998649660573771e-05,0.0
2050,16.00756333468954,4.73322376629605,9.997840886726803e-05,0.0
2051,16.020594169037665,4.7041760163981365,0.00010002332297388773,0.0
2052,15.950919751679146,4.698315428676805,0.00010001392479856087,0.0
2053,15.76122164194079,4.696759057178235,0.00010000755795129136,0.0
2054,15.769689386955394,4.69557879610558,9.999759420981819e-05,0.0
2055,15.632944198460006,4.694387912777617,9.99897229980951e-05,0.0
2056,15.596739691592948,4.693193836808083,0.00010001128323093498,0.0
2057,15.510963769682402,4.69198665248177,9.999810507110043e-05,0.0
2058,15.46670225250297,4.690773999459529,0.00010002272837091268,0.0
2059,15.485624999001637,4.689554595049301,9.99953857839553e-05,0.0
2060,15.264839526496242,4.688327496392243,0.00010000527964520783,0.0
2061,15.257449254299155,4.687099525396397,0.00010001666653577763,0.0
2062,15.128171686696662,4.685853665079124,9.999446205817608e-05,0.0
2063,15.119342713780581,4.684605123382318,9.999982838539834e-05,0.0
2064,15.053595848021383,4.68334890765598,9.99978727477717e-05,0.0
2065,14.96881845166732,4.682084186260794,9.998869326169025e-05,0.0
2066,14.886055900816977,4.680813987444033,9.999757348369925e-05,0.0
2067,14.81148758919317,4.679537558153719,9.999078999444913e-05,0.0
2068,14.728008272140489,4.679199329922609,9.999325315003842e-05,0.0
2069,15.02594272914114,4.678849361272999,0.00010001297280361868,0.0
2070,14.708897337904112,4.57632723862876,0.00010000072816064195,0.0
