r,e,y,AnnualEmissions
RE1,EMIC02,2015,651263.08
RE1,EMIC02,2016,652609.22
RE1,EMIC02,2017,667192.7
RE1,EMIC02,2018,684898.72
RE1,EMIC02,2019,707418.51
RE1,EMIC02,2020,831103.72
RE1,EMIC02,2021,849129.02
RE1,EMIC02,2022,867591.58
RE1,EMIC02,2023,886042.68
RE1,EMIC02,2024,903892.28
RE1,EMIC02,2025,870967.0
RE1,EMIC02,2026,883229.45
RE1,EMIC02,2027,895399.96
RE1,EMIC02,2028,907471.69
RE1,EMIC02,2029,917978.65
RE1,EMIC02,2030,918339.67
RE1,EMIC02,2031,931278.44
RE1,EMIC02,2032,947959.61
RE1,EMIC02,2033,966146.0
RE1,EMIC02,2034,981336.99
RE1,EMIC02,2035,996479.27
RE1,EMIC02,2036,1009902.3
RE1,EMIC02,2037,1021297.7
RE1,EMIC02,2038,1038322.7
RE1,EMIC02,2039,1051346.2
RE1,EMIC02,2040,1063920.3
RE1,EMIC02,2041,1078606.2
RE1,EMIC02,2042,1090482.5
RE1,EMIC02,2043,1103188.1
RE1,EMIC02,2044,1118081.3
RE1,EMIC02,2045,1135063.8
RE1,EMIC02,2046,1144534.1
RE1,EMIC02,2047,1155020.9
RE1,EMIC02,2048,1164625.4
RE1,EMIC02,2049,1174082.8
RE1,EMIC02,2050,1161031.6
RE1,EMIC02,2051,1177093.3
RE1,EMIC02,2052,1186876.8
RE1,EMIC02,2053,1196747.4
RE1,EMIC02,2054,1206706.2
RE1,EMIC02,2055,1216753.8
RE1,EMIC02,2056,1226891.1
RE1,EMIC02,2057,1237118.8
RE1,EMIC02,2058,1247437.9
RE1,EMIC02,2059,1256519.9
RE1,EMIC02,2060,1270635.9
RE1,EMIC02,2061,1278951.9
RE1,EMIC02,2062,1289644.9
RE1,EMIC02,2063,1300433.6
RE1,EMIC02,2064,1311318.9
RE1,EMIC02,2065,1322301.6
RE1,EMIC02,2066,1333382.6
RE1,EMIC02,2067,1344563.0
RE1,EMIC02,2068,1355843.5
RE1,EMIC02,2069,1366809.4
RE1,EMIC02,2070,1248922.8
