y,Capital costs,Fixed costs,Variable costs,Fuel costs
2015,0.0,1.670977180162913,9.994908960229993e-05,3.906504852640462
2016,0.0,1.6702429981749989,0.00010001580709594907,4.252419578349131
2017,0.0,1.6516176633828223,9.997224920216454e-05,4.6285805468822625
2018,0.0,1.639194759173777,0.00010004729266164432,5.060548030614906
2019,0.1276631925698318,1.6485798933564655,0.00010007398714154509,5.4782160923439
2020,2.298300336343592,2.413009055310818,9.997552618697994e-05,3.801892688044751
2021,2.3168488606158113,2.3877497433584733,9.998635201129816e-05,3.8210648737339707
2022,2.3562296432485574,2.3582949027378564,9.999827191926407e-05,3.8583868359813374
2023,2.3933298152223568,2.3305152758267527,9.995466781582822e-05,3.894469710639347
2024,2.7072075426405746,1.7480995043447602,9.996059644538459e-05,4.140531131806763
2025,3.152689471732229,1.783272079535368,9.998662521835345e-05,3.8457761428586457
2026,3.084242906652262,1.727782703433766,0.000100011468298065,3.962138795631652
2027,3.0234039167860813,1.6902879083882227,9.999768345134864e-05,4.427720065325105
2028,2.9698271302476464,1.653602652203758,0.00010002338404906126,4.572145501907222
2029,2.917307154189582,1.6101943848473455,9.997566963791997e-05,4.6838205786268485
2030,3.556565140045002,1.6232694408294368,9.996647355917416e-05,4.071178974668416
2031,3.6806718808992525,1.5536517548587554,0.00010001092053024461,4.36908491877491
2032,3.694970448015638,1.5487939395609314,0.0001000199764415758,4.425134246101675
2033,3.7262980710556577,1.5371937455358948,9.999595703677751e-05,4.4662423129016915
2034,3.7575078770551547,1.529427390051372,0.00010000725407052275,4.495930140854271
2035,3.881866043501886,1.5354039019697099,9.998676313436066e-05,4.483970549501931
2036,3.9840390518662216,1.5313489761200472,9.997587883558253e-05,4.483664748605287
2037,4.217766431891019,1.5470151494344708,9.9966292976455e-05,4.404599037615297
2038,4.4123497078969125,1.5376459680910177,9.99880272242501e-05,4.298277534061055
2039,4.471249029170653,1.541746534689353,9.997976240458881e-05,4.298291711453627
2040,4.548165265620029,1.5403216730806981,9.995776851196463e-05,4.271894344172841
2041,4.628830073176961,1.5449981263869128,9.994554811965361e-05,4.226459218576772
2042,4.752002058139164,1.554423012039507,9.99783721433206e-05,4.158335913157134
2043,4.80077521644211,1.5586648634519438,9.998181632212386e-05,4.127964014190526
2044,4.926781226459824,1.5598505361629578,9.996971464465184e-05,4.03123279555926
2045,5.086714607166208,1.5688672053961263,0.00010001821523787443,3.9092087993610143
2046,5.158610144676155,1.57168085042442,9.999207713050061e-05,3.8918315372404138
2047,5.245002222529916,1.5536692902737206,9.99675430055177e-05,3.878967425966275
2048,5.295494611846827,1.5536779383685089,9.999651860004874e-05,3.8628023979394484
2049,5.269774731890985,1.5564641131577133,9.999946963951395e-05,3.8464145043704208
2050,6.345547270478145,1.7391175112321735,9.999373816121105e-05,2.6979232912447313
2051,6.489973659690009,1.732482333924679,9.999470243855798e-05,2.6952032847314094
2052,6.481555069937125,1.734109239564763,9.998514374705437e-05,2.68509557822993
2053,6.473464632066142,1.735728840712357,0.00010000622023964425,2.6750847021776343
2054,6.20586157225373,1.7373293178249316,9.999345707843453e-05,2.6651516641817743
2055,6.182400254581708,1.738920910683886,9.999812924427706e-05,2.6553110671824514
2056,6.199910922033273,1.7404941621494665,9.998207541921886e-05,2.6455476214885674
2057,6.217004933981772,1.742056990292095,9.999522140223664e-05,2.635872659865381
2058,6.233728205832429,1.743610785562736,9.998821953444087e-05,2.6262872018048125
2059,6.247832767228216,1.743221755962269,9.99971109538186e-05,2.6145401752584077
2060,6.263999098245533,1.7481046559390925,0.00010000382104152039,2.6132682590099816
2061,6.261248389737565,1.7481814827473248,9.999065728926571e-05,2.5980045576121715
2062,6.35531334356722,1.7496796188998123,0.00010001066686671925,2.5887396131282414
2063,6.4287702326165865,1.7511655753170645,9.999907053263128e-05,2.579554952193534
2064,6.462597659247418,1.7526364440370439,9.999101773651569e-05,2.5704459374923956
2065,6.466003222788353,1.7540979001663022,9.999805961989095e-05,2.5614198984349423
2066,6.491845845880428,1.755545293281806,9.998551918255788e-05,2.5524692730856544
2067,6.474752029101061,1.7569821150245006,9.999887868492166e-05,2.5435982176900476
2068,6.441937117045883,1.758405872644524,9.999277589148279e-05,2.534802403103791
2069,6.477139910360183,1.756584872441358,0.00010000297660717493,2.5366027958434008
2070,6.621885339238833,1.8851884454849095,0.0001000156359261463,2.0366640117949455
