r,l,t,f,y,ProductionByTechnology
RE1,S104,DEMTRACARGSL,TRACAR,2020,6.7078
RE1,S104,DEMTRABUSGSL,TRABUS,2020,3.5124
RE1,S104,DEMINDELC,INDELC,2020,3.9215
RE1,S104,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S104,DEMRESELC,RESELC,2020,1.9576
RE1,S104,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S104,DEMRESCKNOIL,RESCKN,2020,2.1962
RE1,S104,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S104,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S104,DEMCOMELC,COMELC,2020,2.0233
RE1,S104,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S104,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S105,MINOIL,OIL,2020,22.3089
RE1,S105,MINBIO,BIO,2020,11.5768
RE1,S105,MINCOA,COA,2020,16.0296
RE1,S105,IMPLFO,LFO,2020,45.5091
RE1,S105,UPSREF001,LFO,2020,20.078
RE1,S105,UPSREF001,HFO,2020,2.2309
RE1,S105,MINNGS,NGS,2020,8.6339
RE1,S105,MINWND,WND,2020,0.0141
RE1,S105,MINHYD,HYD,2020,0.0818
RE1,S105,PWRBIO001,ELC001,2020,0.7386
RE1,S105,PWRCOA001,ELC001,2020,2.3911
RE1,S105,PWRNGS001,ELC001,2020,4.7701
RE1,S105,PWRHYD001,ELC001,2020,0.0786
RE1,S105,PWRHYD002,ELC001,2020,0.0032
RE1,S105,PWRWND001,ELC001,2020,0.0141
RE1,S105,PWRTRNIMP,ELC001,2020,0.5229
RE1,S105,PWRTRN,ELC002,2020,7.9713
RE1,S105,PWRDIST,ELC003,2020,7.9713
RE1,S105,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S105,DEMTRACARGSL,TRACAR,2020,5.2109
RE1,S105,DEMTRABUSGSL,TRABUS,2020,5.3835
RE1,S105,DEMINDELC,INDELC,2020,3.9215
RE1,S105,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S105,DEMRESELC,RESELC,2020,1.9576
RE1,S105,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S105,DEMRESCKNOIL,RESCKN,2020,2.1962
RE1,S105,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S105,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S105,DEMCOMELC,COMELC,2020,2.0233
RE1,S105,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S105,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S106,MINOIL,OIL,2020,22.3089
RE1,S106,MINBIO,BIO,2020,11.5768
RE1,S106,MINCOA,COA,2020,16.0296
RE1,S106,IMPLFO,LFO,2020,45.5091
RE1,S106,UPSREF001,LFO,2020,20.078
RE1,S106,UPSREF001,HFO,2020,2.2309
RE1,S106,MINNGS,NGS,2020,8.6339
RE1,S106,MINWND,WND,2020,0.0141
RE1,S106,MINHYD,HYD,2020,0.0818
RE1,S106,PWRBIO001,ELC001,2020,0.7386
RE1,S106,PWRCOA001,ELC001,2020,2.3911
RE1,S106,PWRNGS001,ELC001,2020,4.7701
RE1,S106,PWRHYD001,ELC001,2020,0.0786
RE1,S106,PWRHYD002,ELC001,2020,0.0032
RE1,S106,PWRWND001,ELC001,2020,0.0141
RE1,S106,PWRTRNIMP,ELC001,2020,0.5229
RE1,S106,PWRTRN,ELC002,2020,7.9713
RE1,S106,PWRDIST,ELC003,2020,7.9713
RE1,S106,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S106,DEMTRACARGSL,TRACAR,2020,6.7078
RE1,S106,DEMTRABUSGSL,TRABUS,2020,4.6105
RE1,S106,DEMINDELC,INDELC,2020,3.9215
RE1,S106,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S106,DEMRESELC,RESELC,2020,1.9576
RE1,S106,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S106,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S106,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S106,DEMCOMELC,COMELC,2020,2.0233
RE1,S106,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S106,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S107,MINOIL,OIL,2020,22.3089
RE1,S107,MINBIO,BIO,2020,11.5768
RE1,S107,MINCOA,COA,2020,16.0296
RE1,S107,IMPLFO,LFO,2020,45.5091
RE1,S107,UPSREF001,LFO,2020,20.078
RE1,S107,UPSREF001,HFO,2020,2.2309
RE1,S107,MINNGS,NGS,2020,8.6339
RE1,S107,MINSOL,SOL,2020,0.2003
RE1,S107,MINWND,WND,2020,0.0111
RE1,S107,MINHYD,HYD,2020,0.0818
RE1,S107,PWRBIO001,ELC001,2020,0.7386
RE1,S107,PWRCOA001,ELC001,2020,2.3911
RE1,S107,PWRNGS001,ELC001,2020,4.7701
RE1,S107,PWRSOL001,ELC001,2020,0.1998
RE1,S107,PWRCSP002,ELC001,2020,0.0005
RE1,S107,PWRHYD001,ELC001,2020,0.0786
RE1,S107,PWRHYD002,ELC001,2020,0.0032
RE1,S107,PWRWND001,ELC001,2020,0.0111
RE1,S107,PWRTRNIMP,ELC001,2020,0.9345
RE1,S107,PWRTRN,ELC002,2020,8.5441
RE1,S107,PWRDIST,ELC003,2020,8.5441
RE1,S107,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S107,DEMTRACARGSL,TRACAR,2020,6.7078
RE1,S107,DEMTRABUSGSL,TRABUS,2020,4.6105
RE1,S107,DEMINDELC,INDELC,2020,4.2057
RE1,S107,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S107,DEMRESELC,RESELC,2020,2.0995
RE1,S107,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S107,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S107,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S107,DEMCOMELC,COMELC,2020,2.1699
RE1,S107,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S107,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S108,MINOIL,OIL,2020,22.3089
RE1,S108,MINBIO,BIO,2020,11.5768
RE1,S108,MINCOA,COA,2020,16.0296
RE1,S108,IMPLFO,LFO,2020,45.5091
RE1,S108,UPSREF001,LFO,2020,20.078
RE1,S108,UPSREF001,HFO,2020,2.2309
RE1,S108,MINNGS,NGS,2020,8.6339
RE1,S108,MINSOL,SOL,2020,0.2003
RE1,S108,MINWND,WND,2020,0.0111
RE1,S108,MINHYD,HYD,2020,0.0818
RE1,S108,PWRBIO001,ELC001,2020,0.7386
RE1,S108,PWRCOA001,ELC001,2020,2.3911
RE1,S108,PWRNGS001,ELC001,2020,4.7701
RE1,S108,PWRSOL001,ELC001,2020,0.1998
RE1,S108,PWRCSP002,ELC001,2020,0.0005
RE1,S108,PWRHYD001,ELC001,2020,0.0786
RE1,S108,PWRHYD002,ELC001,2020,0.0032
RE1,S108,PWRWND001,ELC001,2020,0.0111
RE1,S108,PWRTRNIMP,ELC001,2020,0.9345
RE1,S108,PWRTRN,ELC002,2020,8.5441
RE1,S108,PWRDIST,ELC003,2020,8.5441
RE1,S108,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S108,DEMTRACARGSL,TRACAR,2020,5.2109
RE1,S108,DEMTRABUSGSL,TRABUS,2020,5.3835
RE1,S108,DEMINDELC,INDELC,2020,4.2057
RE1,S108,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S108,DEMRESELC,RESELC,2020,2.0995
RE1,S108,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S108,DEMRESCKNOIL,RESCKN,2020,2.1962
RE1,S108,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S108,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S108,DEMCOMELC,COMELC,2020,2.1699
RE1,S108,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S108,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S109,MINOIL,OIL,2020,22.3089
RE1,S109,MINBIO,BIO,2020,11.5768
RE1,S109,MINCOA,COA,2020,16.0296
RE1,S109,IMPLFO,LFO,2020,45.5091
RE1,S109,UPSREF001,LFO,2020,20.078
RE1,S109,UPSREF001,HFO,2020,2.2309
RE1,S109,MINNGS,NGS,2020,8.6339
RE1,S109,MINSOL,SOL,2020,0.2003
RE1,S109,MINWND,WND,2020,0.0111
RE1,S109,MINHYD,HYD,2020,0.0818
RE1,S109,PWRBIO001,ELC001,2020,0.7386
RE1,S109,PWRCOA001,ELC001,2020,2.3911
RE1,S109,PWRNGS001,ELC001,2020,4.7701
RE1,S109,PWRSOL001,ELC001,2020,0.1998
RE1,S109,PWRCSP002,ELC001,2020,0.0005
RE1,S109,PWRHYD001,ELC001,2020,0.0786
RE1,S109,PWRHYD002,ELC001,2020,0.0032
